auid,indexed_name,surname,given_name,db_title,doi,cited_by,pub_date,parsed_title,ds_clean,title,affiliation,af_name,af_country,af_city,af_state,af_type,af_postal
-1388291214,Waxman S.R.,Waxman,Sandra R.,Nonhuman primate vocalizations support categorization in very young human infants,10.1073/pnas.1221166110,56,2013-10-17,Nonhuman primate vocalizations support categorization in very young human infants,Label advantage in concept learning,,60007363,Northwestern University,United States,Evanston,IL,univ,60208-0001
-1186559073,Robinson C.W.,Robinson,Christopher W.,Linguistic labels and categorization in infancy: Do labels facilitate or hinder?,10.1111/j.1532-7078.2007.tb00225.x,45,2007-01-01,Linguistic labels and categorization in infancy: do labels facilitate or hinder?,Label advantage in concept learning,,60003500,The Ohio State University,United States,Columbus,OH,univ,43210-1132
-1888547316,Sloutsky V.M.,Sloutsky,Vladimir M.,Linguistic labels and categorization in infancy: Do labels facilitate or hinder?,10.1111/j.1532-7078.2007.tb00225.x,45,2007-01-01,Linguistic labels and categorization in infancy: do labels facilitate or hinder?,Label advantage in concept learning,,60003500,The Ohio State University,United States,Columbus,OH,univ,43210-1132
-1388291214,Waxman S.R.,Waxman,Sandra R.,Specifying the scope of 13-month-olds' expectations for novel words,10.1016/S0010-0277(99)00017-7,96,1999-04-01,Specifying the scope of 13-month-olds' expectations for novel words,Label advantage in concept learning,,60007363,Northwestern University,United States,Evanston,IL,univ,60208-0001
-1388291214,Waxman S.R.,Waxman,Sandra R.,Seeing Pink Elephants: Fourteen-Month-Olds' Interpretations of Novel Nouns and Adjectives,10.1006/cogp.2001.0764,173,2001-01-01,Seeing pink elephants: Fourteen-month-olds' interpretations of novel nouns and adjectives,Label advantage in concept learning,,60007363,Northwestern University,United States,Evanston,IL,univ,60208-0001
-1388206608,Booth A.E.,Booth,Amy E.,Seeing Pink Elephants: Fourteen-Month-Olds' Interpretations of Novel Nouns and Adjectives,10.1006/cogp.2001.0764,173,2001-01-01,Seeing pink elephants: Fourteen-month-olds' interpretations of novel nouns and adjectives,Label advantage in concept learning,,NA,NA,NA,NA,NA,NA,NA
-1388206608,Booth A.E.,Booth,Amy E.,Object names and object functions serve as cues to categories for infants.,10.1037/0012-1649.38.6.948,164,2002-01-01,Object names and object functions serve as cues to categories for infants,Label advantage in concept learning,,60007363,Northwestern University,United States,Evanston,IL,univ,60208-0001
-1388291214,Waxman S.,Waxman,Sandra,Object names and object functions serve as cues to categories for infants.,10.1037/0012-1649.38.6.948,164,2002-01-01,Object names and object functions serve as cues to categories for infants,Label advantage in concept learning,,60007363,Northwestern University,United States,Evanston,IL,univ,60208-0001
-1388206608,Booth A.E.,Booth,Amy E.,Mapping words to the world in infancy: Infants' expectations for count nouns and adjectives,10.1207/S15327647JCD0403_06,87,2003-12-01,Mapping words to the world in infancy: Infants' expectations for count nouns and adjectives,Label advantage in concept learning,,60007363,Northwestern University,United States,Evanston,IL,univ,60208-0001
-1388206608,Booth A.E.,Booth,Amy E.,Mapping words to the world in infancy: Infants' expectations for count nouns and adjectives,10.1207/S15327647JCD0403_06,87,2003-12-01,Mapping words to the world in infancy: Infants' expectations for count nouns and adjectives,Label advantage in concept learning,,60007363,Northwestern University,United States,Evanston,IL,univ,60208-0001
-1388291214,Waxman S.R.,Waxman,Sandra R.,Mapping words to the world in infancy: Infants' expectations for count nouns and adjectives,10.1207/S15327647JCD0403_06,87,2003-12-01,Mapping words to the world in infancy: Infants' expectations for count nouns and adjectives,Label advantage in concept learning,,60007363,Northwestern University,United States,Evanston,IL,univ,60208-0001
-1388291214,Waxman S.,Waxman,Sandra,The origins and evolution of links between word learning and conceptual organization: New evidence from 11-month-olds,10.1111/1467-7687.00262,89,2003-04-01,The origins and evolution of links between word learning and conceptual organization: new evidence from 11-month-olds,Label advantage in concept learning,,60007363,Northwestern University,United States,Evanston,IL,univ,60208-0001
-1388206608,Booth A.,Booth,Amy,The origins and evolution of links between word learning and conceptual organization: New evidence from 11-month-olds,10.1111/1467-7687.00262,89,2003-04-01,The origins and evolution of links between word learning and conceptual organization: new evidence from 11-month-olds,Label advantage in concept learning,,NA,NA,NA,NA,NA,NA,NA
-2084174692,Fulkerson A.L.,Fulkerson,Anne L.,"The influence of labels, non-labeling sounds, and source of auditory input on 9- and 15-month-olds' object categorization",10.1207/S15327078IN0403_03,49,2003-12-01,"The influence of labels, non-labeling sounds, and source of auditory input on 9-and 15-month-olds' object categorization",Label advantage in concept learning,,60021624,The University of Toledo,United States,Toledo,OH,univ,43606-3390
-2084174692,Fulkerson A.L.,Fulkerson,Anne L.,"The influence of labels, non-labeling sounds, and source of auditory input on 9- and 15-month-olds' object categorization",10.1207/S15327078IN0403_03,49,2003-12-01,"The influence of labels, non-labeling sounds, and source of auditory input on 9-and 15-month-olds' object categorization",Label advantage in concept learning,,60021624,The University of Toledo,United States,Toledo,OH,univ,43606-3390
-1987193257,Haaf R.A.,Haaf,Robert A.,"The influence of labels, non-labeling sounds, and source of auditory input on 9- and 15-month-olds' object categorization",10.1207/S15327078IN0403_03,49,2003-12-01,"The influence of labels, non-labeling sounds, and source of auditory input on 9-and 15-month-olds' object categorization",Label advantage in concept learning,,60021624,The University of Toledo,United States,Toledo,OH,univ,43606-3390
-1564425964,Albareda-Castellot B.,Albareda-Castellot,Bàrbara,The acquisition of phonetic categories in bilingual infants: New data from an anticipatory eye movement paradigm,10.1111/j.1467-7687.2010.00989.x,86,2011-03-01,The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm,Vowel discrimination (native),,60001576,Universitat de Barcelona,Spain,Barcelona,Barcelona,univ,08007
-1564425964,Albareda-Castellot B.,Albareda-Castellot,Bàrbara,The acquisition of phonetic categories in bilingual infants: New data from an anticipatory eye movement paradigm,10.1111/j.1467-7687.2010.00989.x,86,2011-03-01,The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm,Vowel discrimination (native),,60032942,Universitat Pompeu Fabra Barcelona,Spain,Barcelona,Barcelona,univ,08002
-1339039084,Pons F.,Pons,Ferran,The acquisition of phonetic categories in bilingual infants: New data from an anticipatory eye movement paradigm,10.1111/j.1467-7687.2010.00989.x,86,2011-03-01,The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm,Vowel discrimination (native),,60001576,Universitat de Barcelona,Spain,Barcelona,Barcelona,univ,08007
-1888102356,Sebastian-Galles N.,Sebastián-Gallés,Núria,The acquisition of phonetic categories in bilingual infants: New data from an anticipatory eye movement paradigm,10.1111/j.1467-7687.2010.00989.x,86,2011-03-01,The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm,Vowel discrimination (native),,60032942,Universitat Pompeu Fabra Barcelona,Spain,Barcelona,Barcelona,univ,08002
-1564425964,Albareda-Castellot B.,Albareda-Castellot,Bàrbara,The acquisition of phonetic categories in bilingual infants: New data from an anticipatory eye movement paradigm,10.1111/j.1467-7687.2010.00989.x,86,2011-03-01,The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm,Vowel discrimination (native),,60001576,Universitat de Barcelona,Spain,Barcelona,Barcelona,univ,08007
-1564425964,Albareda-Castellot B.,Albareda-Castellot,Bàrbara,The acquisition of phonetic categories in bilingual infants: New data from an anticipatory eye movement paradigm,10.1111/j.1467-7687.2010.00989.x,86,2011-03-01,The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm,Vowel discrimination (native),,60032942,Universitat Pompeu Fabra Barcelona,Spain,Barcelona,Barcelona,univ,08002
-1339039084,Pons F.,Pons,Ferran,The acquisition of phonetic categories in bilingual infants: New data from an anticipatory eye movement paradigm,10.1111/j.1467-7687.2010.00989.x,86,2011-03-01,The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm,Vowel discrimination (native),,60001576,Universitat de Barcelona,Spain,Barcelona,Barcelona,univ,08007
-1888102356,Sebastian-Galles N.,Sebastián-Gallés,Núria,The acquisition of phonetic categories in bilingual infants: New data from an anticipatory eye movement paradigm,10.1111/j.1467-7687.2010.00989.x,86,2011-03-01,The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm,Vowel discrimination (native),,60032942,Universitat Pompeu Fabra Barcelona,Spain,Barcelona,Barcelona,univ,08002
-1339039084,Pons F.,Pons,Ferran,The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life,10.1111/j.1467-8624.2012.01740.x,24,2012-05-01,The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life,Vowel discrimination (native),,60001576,Universitat de Barcelona,Spain,Barcelona,Barcelona,univ,08007
-1564425964,Albareda-Castellot B.,Albareda-Castellot,Bàrbara,The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life,10.1111/j.1467-8624.2012.01740.x,24,2012-05-01,The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life,Vowel discrimination (native),,60032942,Universitat Pompeu Fabra Barcelona,Spain,Barcelona,Barcelona,univ,08002
-1888102356,Sebastian-Galles N.,Sebastián-Gallés,Núria,The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life,10.1111/j.1467-8624.2012.01740.x,24,2012-05-01,The Interplay Between Input and Initial Biases: Asymmetries in Vowel Perception During the First Year of Life,Vowel discrimination (native),,60032942,Universitat Pompeu Fabra Barcelona,Spain,Barcelona,Barcelona,univ,08002
-1584961960,Bosch L.,Bosch,Laura,Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life,10.1177/00238309030460020801,251,2003-01-01,Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life,Vowel discrimination (native),,60001576,Universitat de Barcelona,Spain,Barcelona,Barcelona,univ,08007
-1584961960,Bosch L.,Bosch,Laura,Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life,10.1177/00238309030460020801,251,2003-01-01,Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life,Vowel discrimination (native),,60001576,Universitat de Barcelona,Spain,Barcelona,Barcelona,univ,08007
-1888102356,Sebastian-Galles N.,Sebastián-Gallés,Núria,Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life,10.1177/00238309030460020801,251,2003-01-01,Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life,Vowel discrimination (native),,60001576,Universitat de Barcelona,Spain,Barcelona,Barcelona,univ,08007
-1584961960,Bosch L.,Bosch,Laura,Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life,10.1177/00238309030460020801,251,2003-01-01,Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life,Vowel discrimination (native),,60001576,Universitat de Barcelona,Spain,Barcelona,Barcelona,univ,08007
-1584961960,Bosch L.,Bosch,Laura,Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life,10.1177/00238309030460020801,251,2003-01-01,Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life,Vowel discrimination (native),,60001576,Universitat de Barcelona,Spain,Barcelona,Barcelona,univ,08007
-1888102356,Sebastian-Galles N.,Sebastián-Gallés,Núria,Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life,10.1177/00238309030460020801,251,2003-01-01,Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life,Vowel discrimination (native),,60001576,Universitat de Barcelona,Spain,Barcelona,Barcelona,univ,08007
389673452,Liu L.,Liu,Liquan,Perception of a native vowel contrast by Dutch monolingual and bilingual infants: A bilingual perceptual lead,10.1177/1367006914566082,24,2016-06-01,Perception of a native vowel contrast by Dutch monolingual and bilingual infants: A bilingual perceptual lead,Vowel discrimination (native),,60009391,Utrecht Institute of Linguistics OTS,Netherlands,Utrecht,NA,resi,3512 JK
-2084477627,Kager R.,Kager,René,Perception of a native vowel contrast by Dutch monolingual and bilingual infants: A bilingual perceptual lead,10.1177/1367006914566082,24,2016-06-01,Perception of a native vowel contrast by Dutch monolingual and bilingual infants: A bilingual perceptual lead,Vowel discrimination (native),,60009391,Utrecht Institute of Linguistics OTS,Netherlands,Utrecht,NA,resi,3512 JK
584918052,Bergmann C.,Bergmann,Christina,Environmental Influences on Infants’ Native Vowel Discrimination: The Case of Talker Number in Daily Life,10.1111/infa.12232,6,2018-07-01,Environmental influences on infants’ native vowel discrimination: The case of talker number in daily life,Vowel discrimination (native),,60008134,CNRS Centre National de la Recherche Scientifique,France,Paris,NA,resi,75794
584918052,Bergmann C.,Bergmann,Christina,Environmental Influences on Infants’ Native Vowel Discrimination: The Case of Talker Number in Daily Life,10.1111/infa.12232,6,2018-07-01,Environmental influences on infants’ native vowel discrimination: The case of talker number in daily life,Vowel discrimination (native),,60024516,Max Planck Institute for Psycholinguistics,Netherlands,Nijmegen,Gelderland,resi,6525 XD
-1388061376,Cristia A.,Cristia,Alejandrina,Environmental Influences on Infants’ Native Vowel Discrimination: The Case of Talker Number in Daily Life,10.1111/infa.12232,6,2018-07-01,Environmental influences on infants’ native vowel discrimination: The case of talker number in daily life,Vowel discrimination (native),,60008134,CNRS Centre National de la Recherche Scientifique,France,Paris,NA,resi,75794
1133407212,Mugitani R.,Mugitani,Ryoko,Perception of Vowel Length by Japanese- and English-Learning Infants,10.1037/a0014043,40,2009-01-01,Perception of vowel length by Japanese- and English-learning infants,Vowel discrimination (native),,60025555,Nippon Telegraph and Telephone Corporation,Japan,Tokyo,NA,comp,100-8116
-1339039084,Pons F.,Pons,Ferran,Perception of Vowel Length by Japanese- and English-Learning Infants,10.1037/a0014043,40,2009-01-01,Perception of vowel length by Japanese- and English-learning infants,Vowel discrimination (native),,60010365,The University of British Columbia,Canada,Vancouver,BC,univ,V6T 1Z4
-1339039084,Pons F.,Pons,Ferran,Perception of Vowel Length by Japanese- and English-Learning Infants,10.1037/a0014043,40,2009-01-01,Perception of vowel length by Japanese- and English-learning infants,Vowel discrimination (native),,60001576,Universitat de Barcelona,Spain,Barcelona,Barcelona,univ,08007
1652308408,Fais L.,Fais,Laurel,Perception of Vowel Length by Japanese- and English-Learning Infants,10.1037/a0014043,40,2009-01-01,Perception of vowel length by Japanese- and English-learning infants,Vowel discrimination (native),,60010365,The University of British Columbia,Canada,Vancouver,BC,univ,V6T 1Z4
1504245520,Dietrich C.,Dietrich,Christiane,Perception of Vowel Length by Japanese- and English-Learning Infants,10.1037/a0014043,40,2009-01-01,Perception of vowel length by Japanese- and English-learning infants,Vowel discrimination (native),,60010365,The University of British Columbia,Canada,Vancouver,BC,univ,V6T 1Z4
-1585247077,Werker J.F.,Werker,Janet F.,Perception of Vowel Length by Japanese- and English-Learning Infants,10.1037/a0014043,40,2009-01-01,Perception of vowel length by Japanese- and English-learning infants,Vowel discrimination (native),,60010365,The University of British Columbia,Canada,Vancouver,BC,univ,V6T 1Z4
-1387253834,Amano S.,Amano,Shigeaki,Perception of Vowel Length by Japanese- and English-Learning Infants,10.1037/a0014043,40,2009-01-01,Perception of vowel length by Japanese- and English-learning infants,Vowel discrimination (native),,60025555,Nippon Telegraph and Telephone Corporation,Japan,Tokyo,NA,comp,100-8116
1133407212,Mugitani R.,Mugitani,Ryoko,Perception of Vowel Length by Japanese- and English-Learning Infants,10.1037/a0014043,40,2009-01-01,Perception of vowel length by Japanese- and English-learning infants,Vowel discrimination (native),,60025555,Nippon Telegraph and Telephone Corporation,Japan,Tokyo,NA,comp,100-8116
-1339039084,Pons F.,Pons,Ferran,Perception of Vowel Length by Japanese- and English-Learning Infants,10.1037/a0014043,40,2009-01-01,Perception of vowel length by Japanese- and English-learning infants,Vowel discrimination (native),,60010365,The University of British Columbia,Canada,Vancouver,BC,univ,V6T 1Z4
-1339039084,Pons F.,Pons,Ferran,Perception of Vowel Length by Japanese- and English-Learning Infants,10.1037/a0014043,40,2009-01-01,Perception of vowel length by Japanese- and English-learning infants,Vowel discrimination (native),,60001576,Universitat de Barcelona,Spain,Barcelona,Barcelona,univ,08007
1652308408,Fais L.,Fais,Laurel,Perception of Vowel Length by Japanese- and English-Learning Infants,10.1037/a0014043,40,2009-01-01,Perception of vowel length by Japanese- and English-learning infants,Vowel discrimination (native),,60010365,The University of British Columbia,Canada,Vancouver,BC,univ,V6T 1Z4
1504245520,Dietrich C.,Dietrich,Christiane,Perception of Vowel Length by Japanese- and English-Learning Infants,10.1037/a0014043,40,2009-01-01,Perception of vowel length by Japanese- and English-learning infants,Vowel discrimination (native),,60010365,The University of British Columbia,Canada,Vancouver,BC,univ,V6T 1Z4
-1585247077,Werker J.F.,Werker,Janet F.,Perception of Vowel Length by Japanese- and English-Learning Infants,10.1037/a0014043,40,2009-01-01,Perception of vowel length by Japanese- and English-learning infants,Vowel discrimination (native),,60010365,The University of British Columbia,Canada,Vancouver,BC,univ,V6T 1Z4
-1387253834,Amano S.,Amano,Shigeaki,Perception of Vowel Length by Japanese- and English-Learning Infants,10.1037/a0014043,40,2009-01-01,Perception of vowel length by Japanese- and English-learning infants,Vowel discrimination (native),,60025555,Nippon Telegraph and Telephone Corporation,Japan,Tokyo,NA,comp,100-8116
-105808548,Sato Y.,Sato,Yutaka,Discrimination of Phonemic Vowel Length by Japanese Infants,10.1037/a0016718,47,2010-01-01,Discrimination of phonemic vowel length by Japanese infants,Vowel discrimination (native),,60020829,RIKEN Center for Brain Science,Japan,Wako,Saitama,resi,351-0198
1531833020,Sogabe Y.,Sogabe,Yuko,Discrimination of Phonemic Vowel Length by Japanese Infants,10.1037/a0016718,47,2010-01-01,Discrimination of phonemic vowel length by Japanese infants,Vowel discrimination (native),,60020829,RIKEN Center for Brain Science,Japan,Wako,Saitama,resi,351-0198
-1987486127,Mazuka R.,Mazuka,Reiko,Discrimination of Phonemic Vowel Length by Japanese Infants,10.1037/a0016718,47,2010-01-01,Discrimination of phonemic vowel length by Japanese infants,Vowel discrimination (native),,60020829,RIKEN Center for Brain Science,Japan,Wako,Saitama,resi,351-0198
-1987486127,Mazuka R.,Mazuka,Reiko,Discrimination of Phonemic Vowel Length by Japanese Infants,10.1037/a0016718,47,2010-01-01,Discrimination of phonemic vowel length by Japanese infants,Vowel discrimination (native),,60008724,Duke University,United States,Durham,NC,univ,27705-3191
-2082071569,Minagawa-Kawai Y.,Minagawa-Kawai,Yasuyo,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60025997,Keio University,Japan,Tokyo,NA,univ,108-8345
-2082071569,Minagawa-Kawai Y.,Minagawa-Kawai,Yasuyo,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60015682,Japan Science and Technology Agency,Japan,Kawaguchi,Saitama,resi,332-0012
-2082071569,Minagawa-Kawai Y.,Minagawa-Kawai,Yasuyo,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60008134,CNRS Centre National de la Recherche Scientifique,France,Paris,NA,resi,75794
-2082071569,Minagawa-Kawai Y.,Minagawa-Kawai,Yasuyo,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60022148,University College London,United Kingdom,London,NA,univ,WC1E 6BT
-2082071569,Minagawa-Kawai Y.,Minagawa-Kawai,Yasuyo,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60025997,Keio University,Japan,Tokyo,NA,univ,108-8345
-488509248,Mori K.,Mori,Koichi,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60092959,National Rehabilitation Center for Persons with Disabilities,Japan,Tokorozawa,Saitama,hosp,359-8555
-878004184,Naoi N.,Naoi,Nozomi,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60025997,Keio University,Japan,Tokyo,NA,univ,108-8345
-1187522124,Kojima S.,Kojima,Shozo,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60025997,Keio University,Japan,Tokyo,NA,univ,108-8345
-1187522124,Kojima S.,Kojima,Shozo,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60015682,Japan Science and Technology Agency,Japan,Kawaguchi,Saitama,resi,332-0012
-2082071569,Minagawa-Kawai Y.,Minagawa-Kawai,Yasuyo,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60025997,Keio University,Japan,Tokyo,NA,univ,108-8345
-2082071569,Minagawa-Kawai Y.,Minagawa-Kawai,Yasuyo,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60015682,Japan Science and Technology Agency,Japan,Kawaguchi,Saitama,resi,332-0012
-2082071569,Minagawa-Kawai Y.,Minagawa-Kawai,Yasuyo,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60008134,CNRS Centre National de la Recherche Scientifique,France,Paris,NA,resi,75794
-2082071569,Minagawa-Kawai Y.,Minagawa-Kawai,Yasuyo,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60022148,University College London,United Kingdom,London,NA,univ,WC1E 6BT
-2082071569,Minagawa-Kawai Y.,Minagawa-Kawai,Yasuyo,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60025997,Keio University,Japan,Tokyo,NA,univ,108-8345
-488509248,Mori K.,Mori,Koichi,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60092959,National Rehabilitation Center for Persons with Disabilities,Japan,Tokorozawa,Saitama,hosp,359-8555
-878004184,Naoi N.,Naoi,Nozomi,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60025997,Keio University,Japan,Tokyo,NA,univ,108-8345
-1187522124,Kojima S.,Kojima,Shozo,Neural attunement processes in infants during the acquisition of a language-specific phonemic contrast,10.1523/JNEUROSCI.1984-06.2007,129,2007-01-10,Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast,Vowel discrimination (native),,60025997,Keio University,Japan,Tokyo,NA,univ,108-8345
