ds_clean,long_cite,parsed_paper_title
Vowel discrimination (native),"Gogate, L. J. & Bahrick, L. E. (1998). Intersensory redundancy facilitates learning of arbitrary relations between vowel sounds and objects in 7-month-old infants. Journal of Experimental Child Psychology, 69 (2), 133-149.",Intersensory redundancy facilitates learning of arbitrary relations between vowel sounds and objects in 7-month-old infants
Vowel discrimination (native),"Gogate, L. J. & Bahrick, L. E. (2001). Intersensory redundancy and 7-month-old infants’ memory for syllable-object relations. Infancy, 2 (2), 219-231.",Intersensory redundancy and 7-month-old infants’ memory for syllable-object relations
Vowel discrimination (non-native),"Trehub, S. E. (1976).The Discrimination of Foreign Speech Contrasts by Infants and Adults. Child Development 47(2), 466-472.",The Discrimination of Foreign Speech Contrasts by Infants and Adults
Vowel discrimination (non-native),"Mugitani, R., Pons, F., Fais, L., Dietrich, C., Werker, J. F., & Amano, S. (2009). Perception of vowel length by Japanese- and English-learning infants. Developmental psychology, 45(1), 236-247.",Perception of vowel length by Japanese- and English-learning infants
Vowel discrimination (non-native),"Mazuka, R., Hasegawa, M., & Tsuji, S. (2013). Development of non-native vowel discrimination: Improvement without exposure. Developmental Psychobiology, 56(2), 192-209.",Development of non-native vowel discrimination: Improvement without exposure
Vowel discrimination (non-native),"Minagawa-Kawai, Y., Mori, K., Naoi, N., & Koijima, S. (2007). Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast. The Journal of Neuroscience, 27(2), 315–321.",Neural Attunement Processes in Infants during the Acquisition of a Language-Specific Phonemic Contrast
Vowel discrimination (non-native),"Minagawa-Kawai, Y., Naoi, N., Nishijima, N., Kojima, S., & Dupoux, E. (2007). Developmental Changes in Cerebral Responses to Native and Non-Native Vowels: A NIRS Study]. Proceedings of the International Conference of Phonetic Sciences XVI.",Developmental Changes in Cerebral Responses to Native and Non-Native Vowels: A NIRS Study]
Vowel discrimination (non-native),"Mulak KE, Bonn CD, Chládková K, Aslin RN, Escudero P (2017) Indexical and linguistic processing by 12-month-olds: Discrimination of speaker, accent and vowel differences. PLOS ONE 12(5): e0176762. https://doi.org/10.1371/journal.pone.0176762","Indexical and linguistic processing by 12-month-olds: Discrimination of speaker, accent and vowel differences"
Vowel discrimination (non-native),"Bosch, L., & Sebastian-Galles, N. (2003). Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life. Language and Speech 46(2-3), 217-243.",Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life
Vowel discrimination (non-native),"Albareda-Castellot, B., Pons, F., & Sebastián-Gallés, N. (2011). The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm. Developmental Science, 14(2), 395-401.",The acquisition of phonetic categories in bilingual infants: new data from an anticipatory eye movement paradigm
Vowel discrimination (non-native),"Tsao, F.-M., Liu, H.-M., & Kuhl, P. K. (2004). Speech perception in infancy predicts language development in the second year of life: A longitudinal study. Child Development, 75(4), 1067–1084. Retrieved from http://cat.inist.fr/?aModele=afficheN&cpsidt=16017499",Speech perception in infancy predicts language development in the second year of life: A longitudinal study
Vowel discrimination (non-native),"Cardillo, G.C. (2010). Predicting the predictors: Individual differences in longitudinal relationships between infant phonetic perception, toddler vocabulary, and preschooler language and phonological awareness. Ph.D. thesis, University of Washington.","Predicting the predictors: Individual differences in longitudinal relationships between infant phonetic perception, toddler vocabulary, and preschooler language and phonological awareness"
Vowel discrimination (non-native),"Eilers, R. E., Bull, D. H., Oller, D. K., & Lewis, D. C. (1984). The discrimination of vowel duration by infants. The Journal of the Acoustical Society of America, 75(4), 1213–1218.",The discrimination of vowel duration by infants
Vowel discrimination (non-native),"Polka, Linda, & Bohn, O.-S. (2011). Natural Referent Vowel (NRV) framework: An emerging view of early phonetic development. Journal of Phonetics, 39(4), 467–478.",Natural Referent Vowel (NRV) framework: An emerging view of early phonetic development
Vowel discrimination (non-native),"Benders, T. (submitted). Learning phonemes from multiple auditory cues: Dutch infants' language input and perception.", Learning phonemes from multiple auditory cues: Dutch infants' language input and perception.
Vowel discrimination (non-native),"Tsuji, S., Fikkert, P., Minagawa, Y., Dupoux, E., Filippin, L., Versteegh, M., Hagoort, P., & Cristia, A. (2017). The more, the better? Behavioral and neural correlates of frequent and infrequent vowel exposure. Developmental Psychobiology.","The more, the better? Behavioral and neural correlates of frequent and infrequent vowel exposure"
Vowel discrimination (non-native),"Jansson-Verkalo, E., Ruusuvirta, T., Huotilainen, M., Alku, P., Kushnerenko, E., Suominen, K., Rytky, S., Luotonen, M., Kaukola, T., Tolonen, U., Hallman, M., (2010). Atypical perceptual narrowing in prematurely born infants is associated with compromised language acquisition at 2 years of age. BMC Neuroscience, 11-88.",Atypical perceptual narrowing in prematurely born infants is associated with compromised language acquisition at 2 years of age
Statistical word segmentation,"Aslin, R. N., Saffran, J. R., & Newport, E. L. (1998). Computation of conditional probability statistics by 8-month-old infants. Psychological science, 9(4), 321-324.",Computation of conditional probability statistics by 8-month-old infants
Statistical word segmentation,"Hay, J. F., & Saffran, J. R. (2012). Rhythmic grouping biases constrain infant statistical learning. Infancy, 17(6), 610-641.",Rhythmic grouping biases constrain infant statistical learning
Statistical word segmentation,"Johnson, E. K. & Jusczyk, P. W. (2001). Word segmentation by 8-month-olds: when speech cues count more than statistics. Journal of Memory and Language, 44(4): 548-567.",Word segmentation by 8-month-olds: when speech cues count more than statistics
Statistical word segmentation,"Johnson, E. K., & Jusczyk, P. W. (2003). Exploring statistical learning by 8-month-olds: The role of complexity and variation. Jusczyk Lab final report, 141-148.",Exploring statistical learning by 8-month-olds: The role of complexity and variation
Statistical word segmentation,"Johnson, E. K., Seidl, A. H. (2009) At 11 months, prosody still outranks statistics. Developmental Science, 12(1): 131-141","At 11 months, prosody still outranks statistics"
Statistical word segmentation,"Lew-Williams, C., & Saffran, J. R. (2012). All words are not created equal: Expectations about word length guide infant statistical learning. Cognition, 122(2), 241-246.",All words are not created equal: Expectations about word length guide infant statistical learning
Statistical word segmentation,"Saffran, J. R. (2001). Words in a sea of sounds: The output of infant statistical learning. Cognition, 81(2), 149-169.",Words in a sea of sounds: The output of infant statistical learning
Statistical word segmentation,"Saffran, J. R., Aslin, R. N., & Newport, E. L. (1996). Statistical learning by 8-month-old infants. Science, 274, 5294.",Statistical learning by 8-month-old infants
Statistical word segmentation,"Thiessen, E. D., Hill, E. A., & Saffran, J. R. (2005). Infantâ€directed speech facilitates word segmentation. Infancy, 7(1), 53-71.",Infantâ€directed speech facilitates word segmentation
Statistical word segmentation,"Thiessen, E. D., & Saffran, J. R. (2003). When cues collide: Use of stress and statistical cues to word boundaries by 7- to 9-month-old infants. Developmental Psychology, 39(4), 706-716. http://dx.doi.org/10.1037/0012-1649.39.4.706",When cues collide: Use of stress and statistical cues to word boundaries by 7- to 9-month-old infants
Statistical word segmentation,"Thiessen, E. D., & Saffran, J. R. (2003). When cues collide: Use of stress and statistical cues to word boundaries by 7- to 9-month-old infants. Developmental Psychology, 39(4), 706-716. http://dx.doi.org/10.1037/0012-1649.39.4.707",When cues collide: Use of stress and statistical cues to word boundaries by 7- to 9-month-old infants
Statistical word segmentation,"Thiessen, E. D., & Saffran, J. R. (2007). Learning to learn: Infantsâ€™ acquisition of stress-based strategies for word segmentation. Language learning and development, 3(1), 73-100.",Learning to learn: Infantsâ€™ acquisition of stress-based strategies for word segmentation
Statistical word segmentation,"Johnson, E. K., & Jusczyk, P. W. (2003). Exploring possible effects of language-â€specific knowledge on infantsâ€™ segmentation of an artificial language. Jusczyk lab final report, 141-148.",Exploring possible effects of language-â€specific knowledge on infantsâ€™ segmentation of an artificial language
Statistical word segmentation,"Simon, K. N., Werchan, D., Goldstein, M. R., Sweeney, L., Bootzin, R. R., Nadel, L., & GÃ³mez, R. L. (2016). Sleep confers a benefit for retention of statistical language learning in 6.5 month old infants. Brain and language.",Sleep confers a benefit for retention of statistical language learning in 6
Statistical word segmentation,"Pelucchi, B., Hay, J. F., & Saffran, J. R. (2009). Statistical Learning in a Natural Language by 8â€Monthâ€Old Infants. Child development, 80(3), 674-685.",Statistical Learning in a Natural Language by 8â€Monthâ€Old Infants
Statistical word segmentation,"Lewâ€Williams, C., Pelucchi, B., & Saffran, J. R. (2011). Isolated words enhance statistical language learning in infancy. Developmental Science, 14(6), 1323-1329.",Isolated words enhance statistical language learning in infancy
Statistical word segmentation,"Pelucchi, B., Hay, J. F., & Saffran, J. R. (2009). Learning in reverse: Eight-month-old infants track backward transitional probabilities. Cognition, 113(2), 244-247.",Learning in reverse: Eight-month-old infants track backward transitional probabilities
Statistical word segmentation,"Karaman, F., & Hay, J. F. (2018). The Longevity of Statistical Learning: When Infant Memory Decays, Isolated Words Come to the Rescue. Journal of Experimental Psychology: Learning, Memory, and Cognition. Advance online publication.","The Longevity of Statistical Learning: When Infant Memory Decays, Isolated Words Come to the Rescue"
Statistical word segmentation,"Lany, J., Shoaib, A., Thompson, A., & Graf Estes, K. (2018). Infant statistical-learning ability is related to real-time language processing. Journal of Child Language, 45(2018), 368-391. DOI: https://doi.org/10.1017/S0305000917000253",Infant statistical-learning ability is related to real-time language processing
Statistical word segmentation,"Bulgarelli, F., Benitez, V., Saffran, J., Byers-Heinlein, K., & Weiss, D. J. (2017, May). Statistical Learning of Multiple Structures by 8-Month-Old Infants. In Proceedings of the... Annual Boston University Conference on Language Development. Boston University Conference on Language Development (Vol. 41, p. 128). NIH Public Access.","Statistical Learning of Multiple Structures by 8-Month-Old Infants. In Proceedings of the... Annual Boston University Conference on Language Development. Boston University Conference on Language Development (Vol. 41, p. 128). NIH Public Access."
Statistical word segmentation,"Thiessen, E. D., & Saffran, J. R. (2004). Spectral tilt as a cue to word segmentation in infancy and adulthood. Perception & psychophysics, 66(5), 779-791.",Spectral tilt as a cue to word segmentation in infancy and adulthood
Statistical word segmentation,"Graf Estes, K. , & Lew-Williams, C. (2015). Listening through voices: Infant statistical word segmentation across multiple speakers. Developmental psychology, 51(11), 1517.",Listening through voices: Infant statistical word segmentation across multiple speakers
Statistical word segmentation,"Graf Estes, K. (2012). Infants generalize representations of statistically segmented words. Front. Psychol., 29, October 2012.",Infants generalize representations of statistically segmented words
Statistical word segmentation,"Thiessen, E. D. (2010). Effects of visual information on adults and infants auditory statistical learning. Cognitive Science, 34(6), 1093-1106.",Effects of visual information on adults and infants auditory statistical learning
Statistical word segmentation,"Thiessen, E. D. (2010). Effects of visual information on adultsâ€™ and infantsâ€™ auditory statistical learning. Cognitive Science, 34(6), 1093-1106.",Effects of visual information on adultsâ€™ and infantsâ€™ auditory statistical learning
Statistical word segmentation,"Graf Estes, K., Gluck, S. C. W., & Bastos, C. (2015). Flexibility in Statistical Word Segmentation: Finding Words in Foreign Speech. Language Learning and Development, 11(3), 252-269.",Flexibility in Statistical Word Segmentation: Finding Words in Foreign Speech
Statistical word segmentation,"Thiessen, E. D., Onnis, L., Hong, S. J., & Lee, K. S. (2019). Early developing syntactic knowledge influences sequential statistical learning in infancy. Journal of experimental child psychology, 177, 211-221.",Early developing syntactic knowledge influences sequential statistical learning in infancy
Statistical word segmentation,"Johnson, E. K., & Tyler, M. D. (2010). Testing the limits of statistical learning for word segmentation. Developmental science, 13(2), 339-345.",Testing the limits of statistical learning for word segmentation
Statistical word segmentation,"Mersad, K., & Nazzi, T. (2012). When Mommy comes to the rescue of statistics: Infants combine top-down and bottom-up cues to segment speech. Language Learning and Development, 8(3), 303-315.",When Mommy comes to the rescue of statistics: Infants combine top-down and bottom-up cues to segment speech
Statistical word segmentation,"Hoareau, M., Yeung, H. H., & Nazzi, T. (2019). Infants statistical word segmentation in an artificial language is linked to both parental speech input and reported production abilities. Developmental science, e12803",Infants statistical word segmentation in an artificial language is linked to both parental speech input and reported production abilities
Statistical word segmentation,"French, R. M., Addyman, C., & Mareschal, D. (2011). TRACX: a recognition-based connectionist framework for sequence segmentation and chunk extraction. Psychological review, 118(4), 614.",TRACX: a recognition-based connectionist framework for sequence segmentation and chunk extraction
Statistical word segmentation,"Marchetto, E., & Bonatti, L. L. (2015). Finding words and word structure in artificial speech: The development of infants' sensitivity to morphosyntactic regularities. Journal of Child Language, 42(4), 873-902.",Finding words and word structure in artificial speech: The development of infants' sensitivity to morphosyntactic regularities
Statistical word segmentation,"Marchetto, E., & Bonatti, L. L. (2013). Words and possible words in early language acquisition. Cognitive psychology, 67(3), 130-150.",Words and possible words in early language acquisition
Online word recognition,"Fernald, A., Perfors, A., & Marchman, V. A. (2006). Picking up speed in understanding: Speech processing efficiency and vocabulary growth across the 2nd year._Developmental psychology,_42(1), 98.",Picking up speed in understanding: Speech processing efficiency and vocabulary growth across the 2nd year
Online word recognition,"Fernald, A. & Marchman, V. A. (2012). Individual differences in lexical processing at 18 months predict vocabulary growth in typically-developing and late-talking toddlers._Child Development, 83, 203-222.",Individual differences in lexical processing at 18 months predict vocabulary growth in typically-developing and late-talking toddlers
Online word recognition,"Fernald, A., Marchman, V. A., & Weisleder, A. (2013). SES differences in language processing skill and vocabulary are evident at 18 months.Developmental science,_16(2), 234-248.",SES differences in language processing skill and vocabulary are evident at 18 months
Online word recognition,"Fernald, A., & Hurtado, N. (2006). Names in frames: infants interpret words in sentence frames faster than words in isolation._Developmental Science,_9(3), F33_F40. http://doi.org/10.1111/j.1467-7687.2006.00482.x",Names in frames: infants interpret words in sentence frames faster than words in isolation
Online word recognition,"Zangl, R., Klarman, L., Thal, D., Fernald, A., & Bates, E. (2005). Dynamics of word comprehension in infancy: Developments in timing, accuracy, and resistance to acoustic degradation._Journal of Cognition and Development,6(2), 179-208.","Dynamics of word comprehension in infancy: Developments in timing, accuracy, and resistance to acoustic degradation"
Online word recognition,"Hurtado, N., Marchman, V. A., & Fernald, A. (2007). Spoken word recognition by Latino children learning Spanish as their first language.Journal of Child Language,_34(02), 227-249.",Spoken word recognition by Latino children learning Spanish as their first language
Mutual exclusivity,"Allen, R., & Scofield, J. (2010). Word learning form videos: More evidence from 2-year-olds. Infant and Child Development, 19, 649-661.",Word learning form videos: More evidence from 2-year-olds
Mutual exclusivity,"Bedford, R., Gliga, T., Frame, K., Hudry, K., Chandler, S., Johnson, M. H., ... & BASIS TEAM. (2013). Failure to learn from feedback underlies word learning difficulties in toddlers at risk for autism. Journal of Child Language, 40(1), 29-46.",Failure to learn from feedback underlies word learning difficulties in toddlers at risk for autism
Mutual exclusivity,"Beverly, B. L; Estis, J. M. Journal of Speech-Language Pathology and Audiology.Vol. 27, Iss. 3, (October 2003): 163-171.",
Mutual exclusivity,"Deak, G. O., Yen, L., & Pettit, J. (2001). By any other name: when will preschoolers produce several labels for a referent?. Journal of Child Language, 28(3), 787-804.",By any other name: when will preschoolers produce several labels for a referent?
Mutual exclusivity,"Estis, J. M., & Beverly, B. L. (2015). Children with SLI exhibit delays resolving ambiguous reference. Journal of child language, 42(1), 180-195.",Children with SLI exhibit delays resolving ambiguous reference
Mutual exclusivity,"Horst, J. S., Scott, E. J., & Pollard, J. A. (2010). The role of competition in word learning via referent selection. Developmental Science, 13(5), 706-713.",The role of competition in word learning via referent selection
Mutual exclusivity,"Kalashnikova, M., Mattock, K., & Monaghan, P. (2016). Flexible use of mutual exclusivity in word learning. Language Learning and Development, 12(1), 79-91.",Flexible use of mutual exclusivity in word learning
Mutual exclusivity,"Merriman, W. E., & Marazita, J. M. (1995). The effect of hearing similar-sounding words on two-year-olds' disambiguation of novel noun reference. Developmental Psychology,31, 973-984.",The effect of hearing similar-sounding words on two-year-olds' disambiguation of novel noun reference
Mutual exclusivity,"Momen, N., & Merriman, W. E. (2002). Two-year-olds' expectation that lexical gaps will be filled*. First Language, 22(3), 225-247.",Two-year-olds' expectation that lexical gaps will be filled*
Mutual exclusivity,"Scofield, J., & Williams, A. (2009). Do 2-year-olds disambiguate and extend words learned from video?. First Language, 29(2), 228-240.",Do 2-year-olds disambiguate and extend words learned from video?
Mutual exclusivity,"Williams, A. (2009). Language development in preschool children with autism spectrum disorders: Investigating fast-mapping abilities and utilization of word learning con-straints (Doctoral dissertation). Retrieved from ProQuestDissertations and Theses. University of Alabama, Tusca-loosa, Alabama.",Language development in preschool children with autism spectrum disorders: Investigating fast-mapping abilities and utilization of word learning con-straints (Doctoral dissertation)
Mutual exclusivity,"Choi, I. & Hwang, M. (2014). Korean Late-Talkersäó» Use of the Mutual Exclusivity Assumption on First versus Second Label Learning. Commun Sci Disord. 19(3), 24-35. DOI: https://doi.org/10.12963/csd.14171",Korean Late-Talkersäó» Use of the Mutual Exclusivity Assumption on First versus Second Label Learning
Mutual exclusivity,"Davidson, D., Jergovic, D., Imami, Z., & Theodos, V. (1997). Monolingual and bilingual children's use of the mutual exclusivity constraint. Journal of child language, 24(1), 3-24.",Monolingual and bilingual children's use of the mutual exclusivity constraint
