ds_clean,response_mode,method,dependent_measure,looking,behavioral_measure,note
Natural speech preference,eye-tracking,central fixation,looking_time,yes,looking,
Natural speech preference,behavior,central fixation,looking_time,yes,looking,
Natural speech preference,eye-tracking,head-turn preference procedure,looking_time,yes,looking,
Cross-situational word learning,eye-tracking,looking while listening,looking_time,yes,looking,
Cross-situational word learning,behavior,forced-choice,target_selection,no,other,
Cross-situational word learning,eye-tracking,looking while listening,looking_time_change_pc,yes,looking,
Language discrimination and preference,eye-tracking,central fixation,looking_time,yes,looking,
Language discrimination and preference,behavior,head-turn preference procedure,reaction_time,no,other,
Language discrimination and preference,behavior,head-turn preference procedure,looking_time,yes,looking,
Language discrimination and preference,behavior,high-amplitude sucking,number_sucks,no,sucking ,
Language discrimination and preference,behavior,high-amplitude sucking,trials_triggered,no,other,
Language discrimination and preference,NIRS,passive listening,mean_amplitude,no,other,
Language discrimination and preference,eye-tracking,central fixation,looking_time_change_pc,yes,looking,
Language discrimination and preference,behavior,forced-choice,target_selection,no,other,
Language discrimination and preference,behavior,high-amplitude sucking,sucking_rate,no,sucking ,
Language discrimination and preference,behavior,high-amplitude sucking,sucking_time,no,sucking ,
Language discrimination and preference,EEG,passive listening,peak_latency,no,other,
Language discrimination and preference,EEG,passive listening,peak_amplitude,no,other,
Syntactic bootstrapping,behavior,forced-choice,target_selection,no,other,
Syntactic bootstrapping,eye-tracking,forced-choice,looking_time,yes,looking,
Infant directed speech preference,eye-tracking,CF,looking_time,yes,looking,
Infant directed speech preference,behavior,CHT,target_selection,no,other,
Infant directed speech preference,behavior,HPP,looking_time,yes,looking,
Infant directed speech preference,other,CF,facial_expression,no,other,
Infant directed speech preference,behavior,FC,target_selection,no,other,
Statistical sound category learning (habituation),eye-tracking,central fixation,looking_time,yes,looking,
Statistical sound category learning (habituation),EEG,oddball,peak_amplitude,no,other,
Statistical sound category learning (habituation),eye-tracking,central fixation,looking_time_change,yes,looking,
Gaze following (combined),eye-tracking,forced-choice,target_selection,yes,looking,https://www.cambridge.org/core/journals/journal-of-child-language/article/infant-gaze-following-and-pointing-predict-accelerated-vocabulary-growth-through-two-years-of-age-a-longitudinal-growth-curve-modeling-study/CB461AEDE820A9FEB35DA5AB5AC4FF3F
Word Segmentation (combined),eye-tracking,central fixation,looking_time,yes,looking,
Word Segmentation (combined),behavior,head-turn preference procedure,looking_time,yes,looking,
Word Segmentation (combined),eye-tracking,head-turn preference procedure,looking_time,yes,looking,
