ds_clean,response_mode,method,dependent_measure,looking,behavioral_measure,note,
Online word recognition,eye-tracking,looking while listening,looking_time,yes,looking,,
Mutual exclusivity,behavior,forced-choice,target_selection,no,manual,,
Mutual exclusivity,eye-tracking,forced-choice,target_selection,yes,looking,,
Mutual exclusivity,eye-tracking,forced-choice,looking_time_change,yes,looking,,
Sound symbolism,behavior,forced-choice,target_selection,no,manual,,
Sound symbolism,eye-tracking,central fixation,looking_time,yes,looking,,
Sound symbolism,eye-tracking,looking while listening,looking_ratio,yes,looking,,
Sound symbolism,eye-tracking,looking while listening,looking_time,yes,looking,,
Sound symbolism,EEG,central fixation,peak_amplitude,no,other,,
Sound symbolism,eye-tracking,looking while listening,looking_time_change_pc,yes,looking,,
Sound symbolism,eye-tracking,forced-choice,target_selection,yes,looking,,
Categorization bias,behavior,forced-choice,target_selection,no,manual,,
Familiar word recognition,behavior,head-turn preference procedure,looking_time,yes,looking,,
Familiar word recognition,eye-tracking,central fixation,looking_time,yes,looking,,
Abstract rule learning,behavior,head-turn preference procedure,looking_time,yes,looking,,
Abstract rule learning,behavior,central fixation,looking_time,yes,looking,,
Switch task,eye-tracking,central fixation,looking_time,yes,looking,,
Mispronunciation sensitivity,eye-tracking,looking while listening,looking_time_change_pc,yes,looking,,
Mispronunciation sensitivity,eye-tracking,looking while listening,looking_time_pc,yes,looking,,
Mispronunciation sensitivity,eye-tracking,looking while listening,longest_look,yes,looking,,
Prosocial agents,behavior,reaching for a target,target_selection,no,manual,,
Prosocial agents,behavior,offering help to a target,target_selection,no,manual,,
Simple arithmetic competences,eye-tracking,forced-choice,looking_time,yes,looking,,
Natural speech preference,behavior,head-turn preference procedure,pc_head_turns,no,head_turn,,
Natural speech preference,behavior,high-amplitude sucking,sucking_time,no,sucking,,
Natural speech preference,eye-tracking,central fixation,looking_time,yes,looking,,
Natural speech preference,behavior,central fixation,looking_time,yes,looking,,
Natural speech preference,eye-tracking,head-turn preference procedure,looking_time,yes,looking,,
Cross-situational word learning,eye-tracking,looking while listening,looking_time,yes,looking,,
Cross-situational word learning,behavior,forced-choice,target_selection,no,manual,,
Cross-situational word learning,eye-tracking,looking while listening,looking_time_change_pc,yes,looking,,
Language discrimination and preference,eye-tracking,central fixation,looking_time,yes,looking,,
Language discrimination and preference,behavior,head-turn preference procedure,reaction_time,no,head_turn,,
Language discrimination and preference,behavior,head-turn preference procedure,looking_time,yes,looking,,
Language discrimination and preference,behavior,high-amplitude sucking,number_sucks,no,sucking,,
Language discrimination and preference,behavior,high-amplitude sucking,trials_triggered,no,sucking,,
Language discrimination and preference,NIRS,passive listening,mean_amplitude,no,other,,
Language discrimination and preference,eye-tracking,central fixation,looking_time_change_pc,yes,looking,,
Language discrimination and preference,behavior,forced-choice,target_selection,no,manual,,
Language discrimination and preference,behavior,high-amplitude sucking,sucking_rate,no,sucking,,
Language discrimination and preference,behavior,high-amplitude sucking,sucking_time,no,sucking,,
Language discrimination and preference,EEG,passive listening,peak_latency,no,other,,
Language discrimination and preference,EEG,passive listening,peak_amplitude,no,other,,
Syntactic bootstrapping,behavior,forced-choice,target_selection,no,manual,,
Syntactic bootstrapping,eye-tracking,forced-choice,looking_time,yes,looking,,
Infant directed speech preference,eye-tracking,CF,looking_time,yes,looking,,
Infant directed speech preference,behavior,CHT,target_selection,no,head_turn,,
Infant directed speech preference,behavior,HPP,looking_time,yes,looking,,
Infant directed speech preference,other,CF,facial_expression,no,facial_expression,,
Infant directed speech preference,behavior,FC,target_selection,no,looking,, 
Statistical sound category learning (habituation),eye-tracking,central fixation,looking_time,yes,looking,,
Statistical sound category learning (habituation),EEG,oddball,peak_amplitude,no,other,,
Statistical sound category learning (habituation),eye-tracking,central fixation,looking_time_change,yes,looking,,
Gaze following (combined),eye-tracking,forced-choice,target_selection,yes,looking,,
Word Segmentation (combined),eye-tracking,central fixation,looking_time,yes,looking,,
Word Segmentation (combined),behavior,head-turn preference procedure,looking_time,yes,looking,,
Word Segmentation (combined),eye-tracking,head-turn preference procedure,looking_time,yes,looking,,
Audio-Visual Congruence,eye-tracking,looking while listening,first-look_duration,yes,looking,,
Audio-Visual Congruence,eye-tracking,looking while listening,looking_time_pc,yes,looking,,
Audio-Visual Congruence,eye-tracking,looking while listening,looking_time,yes,looking,,
Neonatal Imitation,behavior,imitation,actions_produced,no,imitation,,
