study_ID,long_cite,short_cite,doi,peer_reviewed,coder1,coder2,expt_num,expt_condition,same_infant,response_mode,task,exposure_phase,method,dependent_measure,participant_design,native_lang1,native_lang2,test_lang1,percentV_tl1,deltaC_tl1,deltaV_tl1,VarcoC_tl1,VarcoV_tl1,nPVI-C_tl1,nPVI-V_tl1,nPVI-CV_tl1,rPVI-C_tl1,rPVI-V_tl1,rPVI-CV_tl1,nFinalC_tl1,nFinalV_tl1,nFinalCV_tl1,speechrate_tl1,test_lang2,percentV_tl2,deltaC_tl2,deltaV_tl2,VarcoC_tl2,VarcoV_tl2,nPVI-C_tl2,nPVI-V_tl2,nPVI-CV_tl2,rPVI-C_tl2,rPVI-V_tl2,rPVI-CV_tl2,nFinalC_tl2,nFinalV_tl2,nFinalCV_tl2,speechrate_tl2,test_lang_lab,rhythm_contrast,native_lang,native_accent,same_lang,rhythm_class,speech_manip,speech_manip_specific,trial_control,num_trials,infant_type,modality,same_speaker,register,group_name_1,group_name_2,n_1,n_2,n_excluded_1,n_excluded_2,mean_age_1,age_range_1,mean_age_2,age_range_2,gender_1,gender_2,x_1,x_2,SD_1,SD_2,corr,r,t,F,d,d_var,g,g_SE,p_val_reported,all_null,imprecise,source_of_data,source_of_durational_metrics,stimuli_link,paper_link,data_link,comments,controlled for speech rate?
bosch01a,"Bosch, L., Cortés, C., & Sebastian-Galles, N. (2001). El reconocimiento temprano de la lengua materna: Un estudio basado en la voz masculina [Early native-language recognition capacities: A study based on male-voices]. Infancia y Aprendizaje, 24(2), 197-213. https://doi.org/10.1174/021037001316920735",Bosch et al. (2001),10.1174/021037001316920735,yes,LG,,1,spanish,spanish,behavior,pref,test_only,HPP,orientation_time,within_two,Castilian Spanish,,Castilian Spanish,46.84957,31.044,26.03228,46,36.94021,,36.92072,29,45.1,26.932,51,1.05,1.15,1.1,8,Central Catalan,48.48043,34.16789,30.02411,48.02,38.222,,37.35733,,67.8,28.631,,,,,,SpCs-CaCe,native_natclassforeign,yesno,yesno,lang,same,none,none,fixed,28,typical,audio,diff,IDS,test_lang1,test_lang2,10,,1,,139,36,,,,,1.181,1.383,,,,,4.903,,,,,,<0.001,,,paper,,,https://drive.google.com/file/d/1-eUSd9x69b5jbU8QsD9GZqtjt9UC82M9/view?usp=sharing,,reported as p<0.001,yes
bosch01b,"Bosch, L., & Sebastian-Galles, N. (2001). Evidence of early language discrimination abilities in infants from bilingual environments. Infancy, 2(1), 29-49. https://doi.org/10.1207/S15327078IN0201_3",Bosch & Sebastian-Galles (2001),10.1207/S15327078IN0201_3,yes,LG,,1,catalan_1,catalan_1,behavior,discrim,familiarization,HPP,looking_time,within_two,Central Catalan,,Central Catalan,48.48043,34.16789,30.02411,48.02,38.222,,37.35733,,67.8,28.631,,,,,,Castilian Spanish,46.84957,31.044,26.03228,46,36.94021,,36.92072,29,45.1,26.932,51,1.05,1.15,1.1,8,CaCe-SpCs,native_natclassforeign,yesno,yesno,lang,same,none,none,infant_test,8,typical,audio,same,IDS,test_lang1,test_lang2,14,,2,,142,34,,,,,10.884,14.849,5.102,6.947,,,4.038,,,,,,<0.001,,,paper,,,https://drive.google.com/file/d/1tNedcDQDmv7VAa2_rLqMabFjQqnnoa0Y/view?usp=sharing,,all babies were familiarized to their native language; reported as p<0.001; reversed t sign,yes
bosch01b,"Bosch, L., & Sebastian-Galles, N. (2001). Evidence of early language discrimination abilities in infants from bilingual environments. Infancy, 2(1), 29-49. https://doi.org/10.1207/S15327078IN0201_3",Bosch & Sebastian-Galles (2001),10.1207/S15327078IN0201_3,yes,LG,,1,spanish_1,spanish_1,behavior,discrim,familiarization,HPP,looking_time,within_two,Castilian Spanish,,Castilian Spanish,46.84957,31.044,26.03228,46,36.94021,,36.92072,29,45.1,26.932,51,1.05,1.15,1.1,8,Central Catalan,48.48043,34.16789,30.02411,48.02,38.222,,37.35733,,67.8,28.631,,,,,,SpCs-CaCe,native_natclassforeign,yesno,yesno,lang,same,none,none,infant_test,8,typical,audio,same,IDS,test_lang1,test_lang2,14,,1,,136,30,,,,,8.416,12.235,2.751,4.760,,,4.203,,,,,,<0.005,,,paper,,,https://drive.google.com/file/d/1tNedcDQDmv7VAa2_rLqMabFjQqnnoa0Y/view?usp=sharing,,all babies were familiarized to their native language; reported as p<0.005,yes
bosch01b,"Bosch, L., & Sebastian-Galles, N. (2001). Evidence of early language discrimination abilities in infants from bilingual environments. Infancy, 2(1), 29-49. https://doi.org/10.1207/S15327078IN0201_3",Bosch & Sebastian-Galles (2001),10.1207/S15327078IN0201_3,yes,LG,,2,catalan_2,catalan_2,behavior,discrim,familiarization,HPP,looking_time,within_two,Central Catalan,Castilian Spanish,Central Catalan,48.48043,34.16789,30.02411,48.02,38.222,,37.35733,,67.8,28.631,,,,,,Castilian Spanish,46.84957,31.044,26.03228,46,36.94021,,36.92072,29,45.1,26.932,51,1.05,1.15,1.1,8,CaCe-SpCs,native_natclassforeign,yesno,yesno,lang,same,none,none,infant_test,8,bilingual,audio,same,IDS,test_lang1,test_lang2,14,,6,,139,17,,,,,9.209,13.173,6.221,4.912,,,6.901,,,,,,<0.0001,,,paper,,,https://drive.google.com/file/d/1tNedcDQDmv7VAa2_rLqMabFjQqnnoa0Y/view?usp=sharing,,all babies were familiarized to native_lang1 (their mother's dominant language); reported as p<0.0001; reversed t sign,yes
bosch01b,"Bosch, L., & Sebastian-Galles, N. (2001). Evidence of early language discrimination abilities in infants from bilingual environments. Infancy, 2(1), 29-49. https://doi.org/10.1207/S15327078IN0201_3",Bosch & Sebastian-Galles (2001),10.1207/S15327078IN0201_3,yes,LG,,2,spanish_2,spanish_2,behavior,discrim,familiarization,HPP,looking_time,within_two,Castilian Spanish,Catalan,Castilian Spanish,46.84957,31.044,26.03228,46,36.94021,,36.92072,29,45.1,26.932,51,1.05,1.15,1.1,8,Central Catalan,48.48043,34.16789,30.02411,48.02,38.222,,37.35733,,67.8,28.631,,,,,,SpCs-CaCe,native_natclassforeign,yesno,yesno,lang,same,none,none,infant_test,8,bilingual,audio,same,IDS,test_lang1,test_lang2,14,,6,,135,12,,,,,11.238,14.493,6.059,5.736,,,3.003,,,,,,<0.01,,,paper,,,https://drive.google.com/file/d/1tNedcDQDmv7VAa2_rLqMabFjQqnnoa0Y/view?usp=sharing,,all babies were familiarized to native_lang1 (their mother's dominant language); reported as p<0.01,yes
bosch10,"Bosch, L. (2010, April 16). Rhythm cues and language discrimination in infancy: A review [Workshop]. Workshop on Prosodic Development, Barcelona. http://prosodia.upf.edu/activitats/prosodicdevelopment/presentacions/bosch.pdf",Bosch (2010),,,LG,,1,1,1,behavior,pref,test_only,CF,orientation_time,within_two,Central Catalan,,Central Catalan,,,,,,,,,,,,,,,,Southern Catalan,,,,,,,,,,,,,,,,CaCe-CaSo,native_nonnatdialect,yesyes,yesno,accent,same,none,none,fixed,28,typical,audio,diff,IDS,test_lang1,test_lang2,,,,,136.98,,,,,,,,,,,,,,,,,,,,,paper,,,,,"""faster orientation latencies to Central Catalan utterances""",yes
bosch10,"Bosch, L. (2010, April 16). Rhythm cues and language discrimination in infancy: A review [Workshop]. Workshop on Prosodic Development, Barcelona. http://prosodia.upf.edu/activitats/prosodicdevelopment/presentacions/bosch.pdf",Bosch (2010),,,LG,,2,2,2,behavior,pref,test_only,CF,orientation_time,within_two,Central Catalan,,Southern Catalan,,,,,,,,,,,,,,,,Castilian Spanish,,,,,,,,,,,,,,,,CaSo-SpCs,nonnatdialect_natclassforeign,yesno,nono,lang,same,none,none,fixed,28,typical,audio,diff,IDS,test_lang1,test_lang2,,,,,136.98,,,,,,,,,,,,,,,,,,,,,paper,,,,,"""no differences in orientation latencies between Western-Catalan and Spanish utterances""",yes
bosch10,"Bosch, L. (2010, April 16). Rhythm cues and language discrimination in infancy: A review [Workshop]. Workshop on Prosodic Development, Barcelona. http://prosodia.upf.edu/activitats/prosodicdevelopment/presentacions/bosch.pdf",Bosch (2010),,,LG,,3,3_mono,3_mono,behavior,pref,test_only,CF,orientation_time,within_two,Castilian Spanish,,Castilian Spanish,,,,,,,,,,,,,,,,Basque,,,,,,,,,,,,,,,,SpCs-Ba,native_natclassforeign,yesno,yesno,lang,same,none,none,fixed,28,typical,audio,same,IDS,test_lang1,test_lang2,,,,,136.98,,,,,,,,,,,,,,,,,,,,,paper,,,,,"""No evidence of differentiation, both groups behaved similarly in this task.""",yes
bosch10,"Bosch, L. (2010, April 16). Rhythm cues and language discrimination in infancy: A review [Workshop]. Workshop on Prosodic Development, Barcelona. http://prosodia.upf.edu/activitats/prosodicdevelopment/presentacions/bosch.pdf",Bosch (2010),,,LG,,3,3_bi,3_bi,behavior,pref,test_only,CF,orientation_time,within_two,Castilian Spanish,Catalan,Castilian Spanish,,,,,,,,,,,,,,,,Basque,,,,,,,,,,,,,,,,SpCs-Ba,native_natclassforeign,yesno,yesno,lang,same,none,none,fixed,28,bilingual,audio,same,IDS,test_lang1,test_lang2,,,,,136.98,,,,,,,,,,,,,,,,,,,,,paper,,,,,"""No evidence of differentiation, both groups behaved similarly in this task.""",yes
bosch10,"Bosch, L. (2010, April 16). Rhythm cues and language discrimination in infancy: A review [Workshop]. Workshop on Prosodic Development, Barcelona. http://prosodia.upf.edu/activitats/prosodicdevelopment/presentacions/bosch.pdf",Bosch (2010),,,LG,,4,4,4,behavior,discrim,familiarization,,,,,,Castilian Spanish,,,,,,,,,,,,,,,,Basque,,,,,,,,,,,,,,,,SpCs-Ba,,,,,same,,,,,,,,,familiarized,novel,,,,,121.76,,,,,,,,,,,,,,,,,,,,,paper,,,,,"""Only 9-month-olds succeeded at discriminating the languages""",yes
bosch10,"Bosch, L. (2010, April 16). Rhythm cues and language discrimination in infancy: A review [Workshop]. Workshop on Prosodic Development, Barcelona. http://prosodia.upf.edu/activitats/prosodicdevelopment/presentacions/bosch.pdf",Bosch (2010),,,LG,,5,5,5,behavior,discrim,familiarization,,,,,,Castilian Spanish,,,,,,,,,,,,,,,,Basque,,,,,,,,,,,,,,,,SpCs-Ba,,,,,same,,,,,,,,,familiarized,novel,,,,,182.64,,,,,,,,,,,,,,,,,,,,,paper,,,,,"""Only 9-month-olds succeeded at discriminating the languages""",yes
bosch10,"Bosch, L. (2010, April 16). Rhythm cues and language discrimination in infancy: A review [Workshop]. Workshop on Prosodic Development, Barcelona. http://prosodia.upf.edu/activitats/prosodicdevelopment/presentacions/bosch.pdf",Bosch (2010),,,LG,,6,6,6,behavior,discrim,familiarization,,,,,,Castilian Spanish,,,,,,,,,,,,,,,,Basque,,,,,,,,,,,,,,,,SpCs-Ba,,,,,same,,,,,,,,,familiarized,novel,,,,,273.96,,,,,,,,,,,,,,,,,,,,,paper,,,,,"""Only 9-month-olds succeeded at discriminating the languages""",yes
butler11,"Butler, J., Floccia, C., Goslin, J., & Panneton, R. (2011). Infants’ discrimination of familiar and unfamiliar accents in speech. Infancy, 16(4), 392-417. https://doi.org/10.1111/j.1532-7078.2010.00050.x
",Butler et al. (2011),10.1111/j.1532-7078.2010.00050.x,yes,LG,,1,1,1,behavior,discrim,familiarization,HPP,looking_time,within_two,West Country English,,West Country English,45.9,73.5,63.9,56.1,56.5,,72.5,,81.5,,117.1,1.14,1.69,1.41,4.21,South Wales English,44.5,72.7,60.6,56.2,52.3,,74.6,,79.1,,106.6,0.99,1.52,1.27,4.26,EnBrWC-EnBrWel,native_nonnatdialect,yesyes,yesno,accent,same,none,none,infant_all,8,typical,audio,diff,IDS,familiarized,novel,20,,7,,163.4628,48.0952,,,0.45,,8.580,6.820,2.980,2.820,,,,-6.700,,,,,0.019,,,paper,white14,,https://drive.google.com/file/d/1ogn5sNnnqZVHxdgkxt2CLYyaXFgNcGYZ/view?usp=sharing,,mean age from Butler (2009); reversed F sign,no
butler11,"Butler, J., Floccia, C., Goslin, J., & Panneton, R. (2011). Infants’ discrimination of familiar and unfamiliar accents in speech. Infancy, 16(4), 392-417. https://doi.org/10.1111/j.1532-7078.2010.00050.x
",Butler et al. (2011),10.1111/j.1532-7078.2010.00050.x,yes,LG,,2,2,2,behavior,discrim,familiarization,HPP,looking_time,within_two,West Country English,,Scottish English,44.5,78.3,65.1,56,56,,71.7,,91.3,,110.4,0.94,1.56,1.22,4.03,South Wales English,44.5,72.7,60.6,56.2,52.3,,74.6,,79.1,,106.6,0.99,1.52,1.27,4.26,EnBrSc-EnBrWel,nonnatdialect_nonnatdialect,yesyes,nono,accent,same,none,none,infant_all,8,typical,audio,diff,IDS,familiarized,novel,20,,6,,153.4176,50.8348,,,0.35,,8.190,7.930,3.460,3.250,,,,,,,,,>0.05,,,paper,white14,,https://drive.google.com/file/d/1ogn5sNnnqZVHxdgkxt2CLYyaXFgNcGYZ/view?usp=sharing,,"mean age from Butler (2009); reported as F<1, p>0.05",no
butler11,"Butler, J., Floccia, C., Goslin, J., & Panneton, R. (2011). Infants’ discrimination of familiar and unfamiliar accents in speech. Infancy, 16(4), 392-417. https://doi.org/10.1111/j.1532-7078.2010.00050.x
",Butler et al. (2011),10.1111/j.1532-7078.2010.00050.x,yes,LG,,3,3,3,behavior,discrim,familiarization,HPP,looking_time,within_two,West Country English,,West Country English,45.9,73.5,63.9,56.1,56.5,,72.5,,81.5,,117.1,1.14,1.69,1.41,4.21,South Wales English,44.5,72.7,60.6,56.2,52.3,,74.6,,79.1,,106.6,0.99,1.52,1.27,4.26,EnBrWC-EnBrWel,native_nonnatdialect,yesyes,yesno,accent,same,none,none,infant_all,8,typical,audio,diff,IDS,familiarized,novel,20,,4,,224.0384,80.9704,,,0.5,,6.600,7.970,2.390,3.410,,,,4.480,,,,,0.048,,,paper,white14,,https://drive.google.com/file/d/1ogn5sNnnqZVHxdgkxt2CLYyaXFgNcGYZ/view?usp=sharing,,,no
byersheinlein10,"Byers-Heinlein, K., Burns, T. C., & Werker, J. F. (2010). The roots of bilingualism in newborns. Psychological Science, 21(3), 343-348. https://doi.org/10.1177/0956797609360758
",Byers-Heinlein et al. (2010),10.1177/0956797609360758,yes,LG,,1a,monoling_1a,monoling_1a,behavior,pref,test_only,HAS,number_sucks,within_two,Canadian English (Vancouver),,Canadian English (Vancouver),49.12573,56.815,53.31,58.42,53.4668,,57.01,,67.25668,,,,,,5.676919,Tagalog,46.8,46.6,45.2,,,,,,,,,,,,,EnCa-Tg,native_forclassforeign,yesno,yesno,lang,diff,segmental,lpf,fixed,10,typical,audio,diff,ADS,test_lang1,test_lang2,15,,9.33,,1.56165,5,,,0.429,,26.543,23.029,8.576,8.097,0.896,,-3.440,,,,,,0.004,,,authors,,https://osf.io/9shr7/,https://drive.google.com/file/d/1A6F9zzdcVFR6xKoEPZmAQIxupFTdPe7a/view?usp=sharing,https://osf.io/cqbfk/,calculated x and SD from raw data; mean_age unavailable so imputed mean age from study 2,yes
byersheinlein10,"Byers-Heinlein, K., Burns, T. C., & Werker, J. F. (2010). The roots of bilingualism in newborns. Psychological Science, 21(3), 343-348. https://doi.org/10.1177/0956797609360758
",Byers-Heinlein et al. (2010),10.1177/0956797609360758,yes,LG,,1a,biling_1a,biling_1a,behavior,pref,test_only,HAS,number_sucks,within_two,Canadian English (Vancouver),Tagalog,Canadian English (Vancouver),49.12573,56.815,53.31,58.42,53.4668,,57.01,,67.25668,,,,,,5.676919,Tagalog,46.8,46.6,45.2,,,,,,,,,,,,,EnCa-Tg,native_native,yesyes,yesyes,lang,diff,segmental,lpf,fixed,10,bilingual,audio,diff,ADS,test_lang1,test_lang2,15,,9.33,,1.56165,5,,,0.536,,27.600,31.286,13.452,17.664,0.907,,1.760,,,,,,0.103,,,authors,,https://osf.io/9shr7/,https://drive.google.com/file/d/1A6F9zzdcVFR6xKoEPZmAQIxupFTdPe7a/view?usp=sharing,https://osf.io/cqbfk/,calculated x and SD from raw data; mean_age unavailable so imputed mean age from study 2,yes
