ds_clean,long_cite,native_lang,infant_type,infant_type_clinical (typical vs nt (preterm / delayed / developmental disorder),infant_type_language,infant_native_lang
Cross-situational word learning,,American English,ASD,nt,monolingual,
Cross-situational word learning,,German,typical,typical,monolingual,
Cross-situational word learning,,Mandarin,typical,typical,monolingual,
Cross-situational word learning,,Australian English,typical,typical,monolingual,
Language discrimination and preference (preference),,NA,typical (n=26); bilingual (n=22),typical,na,
Language discrimination and preference (preference),,yesyes,typical,typical,na,
Language discrimination and preference (preference),,nono,typical,typical,na,
Language discrimination and preference (preference),,yesno,typical,typical,na,
Language discrimination and preference (preference),,yesyes,bilingual,typical,na,
Language discrimination and preference (preference),,yesno,bilingual,typical,na,
Language discrimination and preference (preference),,nono,bilingual,typical,na,
Syntactic bootstrapping,,American English,typical,typical,monolingual,
Infant directed speech preference,,english,typical,typical,na,
Infant directed speech preference,,english,non-typical,nt,na,
Infant directed speech preference,,cantonese,typical,typical,na,
Infant directed speech preference,,japanese,typical,typical,na,
Gaze following (combined),,American English,typical,typical,monolingual,
Gaze following (combined),,British English,typical,typical,monolingual,
Gaze following (combined),,German,typical,typical,monolingual,
Gaze following (combined),,NA,typical,typical,na,
Gaze following (combined),,NA,sighted_blind_mother,nt,na,
Word Segmentation (combined),,German,typical,typical,monolingual,
Word Segmentation (combined),,Canadian French,typical,typical,monolingual,
Word Segmentation (combined),,European Portuguese,typical,typical,monolingual,
Word Segmentation (combined),,Japanese,typical,typical,monolingual,
Word Segmentation (combined),,British English,typical,typical,monolingual,
Word Segmentation (combined),,American English,typical,typical,monolingual,
Word Segmentation (combined),,Parisian French,preterm,preterm,monolingual,
Word Segmentation (combined),,Parisian French,typical,typical,monolingual,
Word Segmentation (combined),,Dutch,typical,typical,monolingual,
Word Segmentation (combined),,Canadian English,typical,typical,monolingual,
Word Segmentation (combined),,African American English,typical,typical,monolingual,
Word Segmentation (combined),,Canadian English and French,bilingual,typical,nm,
Word Segmentation (combined),,Mandarin and English,bilingual,typical,nm,
Word Segmentation (combined),,Mandarin,typical,typical,monolingual,
Word Segmentation (combined),,Catalan and Spanish,bilingual,typical,nm,
Word Segmentation (combined),,Catalan,typical,typical,monolingual,
Word Segmentation (combined),,Peninsular Spanish,typical,typical,monolingual,
Audio-Visual Congruence,,NA,typical,typical,monolingual,
Audio-Visual Congruence,,German,typical,typical,monolingual,
Audio-Visual Congruence,,English,typical,typical,monolingual,
Audio-Visual Congruence,,French,typical,typical,monolingual,
Audio-Visual Congruence,,German_Swedish,typical,typical,monolingual,
Audio-Visual Congruence,,Spanish,typical,typical,monolingual,
Neonatal Imitation,,not reported,typical,typical,monolingual,
Language discrimination and preference (discrimination),,NA,typical (n=26); bilingual (n=22),typical,na,
Language discrimination and preference (discrimination),,yesyes,typical,typical,na,
Language discrimination and preference (discrimination),,nono,typical,typical,na,
Language discrimination and preference (discrimination),,yesno,typical,typical,na,
Language discrimination and preference (discrimination),,yesyes,bilingual,typical,na,
Language discrimination and preference (discrimination),,yesno,bilingual,typical,na,
Language discrimination and preference (discrimination),,nono,bilingual,typical,na,
Statistical sound category learning,,American English,typical,typical,monolingual,
Statistical sound category learning,,Canadian English,typical,typical,monolingual,
Statistical sound category learning,,Canadian English,bilingual,typical,nm,
Statistical sound category learning,,Dutch,typical,typical,nm,
