ds_clean,long_cite,short_cite,same_infant,study_ID,unique_row,d_calc,d_var_calc,mean_age_months,response_mode,behavioral_measure,stimuli_naturalness,exposure_phase
Abstract rule learning,"Ferguson, B. & Waxman, S. Visual abstract rule learning by 3- and 4-month-old infants Cognitive Science Society 2015",Ferguson & Waxman (2016),SilenceABB,Ferguson2015,15,-0.34057095860326375,0.01979942889219729,4.238280046818209,behavior,looking,artificial,habituation
Abstract rule learning,"Ferguson, B. & Waxman, S. Visual abstract rule learning by 3- and 4-month-old infants Cognitive Science Society 2015",Ferguson & Waxman (2016),SpeechABA,Ferguson2015,16,-0.520109038484265,0.02952567059565132,4.106860510482761,behavior,looking,natural,habituation
Abstract rule learning,"Ferguson, B. & Waxman, S. Visual abstract rule learning by 3- and 4-month-old infants Cognitive Science Society 2015",Ferguson & Waxman (2016),SpeechABB,Ferguson2015,17,-0.41164146988451866,0.11047243498643436,4.0740056263988995,behavior,looking,natural,habituation
Abstract rule learning,"Ferguson, B., & Lew-Williams, C. Communicative signals support abstract rule learning by 7-month-old infants.  Sci Rep. 2016; 6: 25434.",Ferguson & Lew-Williams (2016),CommunicativeTonesTrainAAB-TestABB,Ferguson2016,18,0.32552659388883276,0.01824594541610813,7.589478223372143,behavior,looking,artificial,familiarization
Abstract rule learning,"Ferguson, B., & Lew-Williams, C. Communicative signals support abstract rule learning by 7-month-old infants.  Sci Rep. 2016; 6: 25434.",Ferguson & Lew-Williams (2016),CommunicativeTonesTrainABA-TestABB,Ferguson2016,19,0.7367670514303647,0.08785321100917423,7.39234891886897,behavior,looking,artificial,familiarization
Abstract rule learning,"Ferguson, B., & Lew-Williams, C. Communicative signals support abstract rule learning by 7-month-old infants.  Sci Rep. 2016; 6: 25434.",Ferguson & Lew-Williams (2016),CommunicativeTonesTrainABB-TestAAB,Ferguson2016,20,0.7542814418165106,0.11611756168359924,7.655187991539867,behavior,looking,artificial,familiarization
Abstract rule learning,"Ferguson, B., & Lew-Williams, C. Communicative signals support abstract rule learning by 7-month-old infants.  Sci Rep. 2016; 6: 25434.",Ferguson & Lew-Williams (2016),CommunicativeTonesTrainABB-TestABA,Ferguson2016,21,0.3643805715709932,0.07159665011730046,7.589478223372143,behavior,looking,artificial,familiarization
Abstract rule learning,"Ferguson, B., & Lew-Williams, C. Communicative signals support abstract rule learning by 7-month-old infants.  Sci Rep. 2016; 6: 25434.",Ferguson & Lew-Williams (2016),NonCommunicativeTonesTrainAAB-TestABB,Ferguson2016,22,-0.3785714285714288,0.16791454081632656,7.490913571120557,behavior,looking,artificial,familiarization
Abstract rule learning,"Ferguson, B., & Lew-Williams, C. Communicative signals support abstract rule learning by 7-month-old infants.  Sci Rep. 2016; 6: 25434.",Ferguson & Lew-Williams (2016),NonCommunicativeTonesTrainABA-TestABB,Ferguson2016,23,-0.06389743746861527,0.22551036031438193,7.260929382533522,behavior,looking,artificial,familiarization
Abstract rule learning,"Ferguson, B., & Lew-Williams, C. Communicative signals support abstract rule learning by 7-month-old infants.  Sci Rep. 2016; 6: 25434.",Ferguson & Lew-Williams (2016),NonCommunicativeTonesTrainABB-TestAAB,Ferguson2016,24,0.24827424623542255,0.14270501266797092,7.425203802952833,behavior,looking,artificial,familiarization
Abstract rule learning,"Ferguson, B., & Lew-Williams, C. Communicative signals support abstract rule learning by 7-month-old infants.  Sci Rep. 2016; 6: 25434.",Ferguson & Lew-Williams (2016),NonCommunicativeTonesTrainABB-TestABA,Ferguson2016,25,-0.14639454214722183,0.3026789202463118,7.655187991539867,behavior,looking,artificial,familiarization
Abstract rule learning,"Ferguson, B., & Lew-Williams, C. Communicative signals support abstract rule learning by 7-month-old infants.  Sci Rep. 2016; 6: 25434.",Ferguson & Lew-Williams (2016),NonCommTonesTestSpeechTrainABATestABB,Ferguson2016,26,0.0809933476761062,0.03040999514798641,7.359494034785109,behavior,looking,artificial,familiarization
Abstract rule learning,"Ferguson, B., & Lew-Williams, C. Communicative signals support abstract rule learning by 7-month-old infants.  Sci Rep. 2016; 6: 25434.",Ferguson & Lew-Williams (2016),NonCommTonesTestSpeechTrainABBTestABA,Ferguson2016,27,0.2797364275005313,0.11989077930442248,7.4580586870366945,behavior,looking,artificial,familiarization
Abstract rule learning,"Ferguson, B., & Lew-Williams, C. Communicative signals support abstract rule learning by 7-month-old infants.  Sci Rep. 2016; 6: 25434.",Ferguson & Lew-Williams (2016),CommTonesTestSpeechTrainABATestABB,Ferguson2016,28,0.2822309243833303,0.07775857192657049,7.4580586870366945,behavior,looking,artificial,familiarization
Abstract rule learning,"Ferguson, B., & Lew-Williams, C. Communicative signals support abstract rule learning by 7-month-old infants.  Sci Rep. 2016; 6: 25434.",Ferguson & Lew-Williams (2016),CommTonesTestSpeechTrainABBTestABA,Ferguson2016,29,0.9993442708242978,0.2570492122592391,7.490913571120557,behavior,looking,artificial,familiarization
Abstract rule learning,"Frank, M. C., Slemmer, J. A., Marcus, G. F., & Johnson, S. P. Information from multiple modalities helps 5‐month‐olds learn abstract rules.  Developmental science, 2009 12(4), 504-509.",Frank et al (2009),ShapesSyllablesABA,Frank2009,30,1.2238975901615785,0.1605601659751037,5.092507032998624,behavior,looking,natural,habituation
Abstract rule learning,"Frank, M. C., Slemmer, J. A., Marcus, G. F., & Johnson, S. P. Information from multiple modalities helps 5‐month‐olds learn abstract rules.  Developmental science, 2009 12(4), 504-509.",Frank et al (2009),ShapesSyllablesABB,Frank2009,31,0.5456242054948013,0.11305330542568227,5.092507032998624,behavior,looking,natural,habituation
Abstract rule learning,"Frank, M. C., Slemmer, J. A., Marcus, G. F., & Johnson, S. P. Information from multiple modalities helps 5‐month‐olds learn abstract rules.  Developmental science, 2009 12(4), 504-509.",Frank et al (2009),ShapesABA,Frank2009,32,0.08047621870446098,0.08645238818053025,5.092507032998624,behavior,looking,artificial,habituation
Abstract rule learning,"Frank, M. C., Slemmer, J. A., Marcus, G. F., & Johnson, S. P. Information from multiple modalities helps 5‐month‐olds learn abstract rules.  Developmental science, 2009 12(4), 504-509.",Frank et al (2009),ShapesABB,Frank2009,33,-0.41952421050733446,0.10050001760005632,5.092507032998624,behavior,looking,artificial,habituation
Abstract rule learning,"Frank, M. C., Slemmer, J. A., Marcus, G. F., & Johnson, S. P. Information from multiple modalities helps 5‐month‐olds learn abstract rules.  Developmental science, 2009 12(4), 504-509.",Frank et al (2009),ShapesSyllablesABA,Frank2009,34,0.11337314689562952,0.02290167095115682,5.092507032998624,behavior,looking,natural,habituation
Abstract rule learning,"Frank, M. C., Slemmer, J. A., Marcus, G. F., & Johnson, S. P. Information from multiple modalities helps 5‐month‐olds learn abstract rules.  Developmental science, 2009 12(4), 504-509.",Frank et al (2009),ShapesSyllablesABB,Frank2009,35,0.11404288819045576,0.10540643063583814,5.092507032998624,behavior,looking,natural,habituation
Abstract rule learning,"Gerken, L Decisions, decisions: Infant language learning when multiple generalizations are possible. Cognition, 2006, 98(3), B67-B74.",Gerken (2006),Column,Gerken2006,36,-0.08860049695977308,0.02437442226797674,9.1008028912298,behavior,looking,natural,familiarization
Abstract rule learning,"Gerken, L Decisions, decisions: Infant language learning when multiple generalizations are possible. Cognition, 2006, 98(3), B67-B74.",Gerken (2006),Diagonal,Gerken2006,37,-0.5202748857253827,0.05301082743777284,9.297932195732972,behavior,looking,natural,familiarization
Abstract rule learning,"Gerken, L Decisions, decisions: Infant language learning when multiple generalizations are possible. Cognition, 2006, 98(3), B67-B74.",Gerken (2006),ColumnNewBSyllables,Gerken2006,38,-0.811200724156706,0.06943895671476139,9.199367543481385,behavior,looking,natural,familiarization
Abstract rule learning,"Gerken, L Infants use rational decision criteria for choosing among models of their input Cognition. 2010 May; 115(2): 362–366.",Gerken (2010),column-plus-3,Gerken2010,39,-0.7106138191732554,0.10624922222222222,9.133657775313662,behavior,looking,natural,familiarization
Abstract rule learning,"Gerken, L Infants use rational decision criteria for choosing among models of their input Cognition. 2010 May; 115(2): 362–366.",Gerken (2010),music-plus-5,Gerken2010,40,0.2655433214290195,0.0571809237654321,9.133657775313662,behavior,looking,natural,familiarization
Abstract rule learning,"Gerken L, Dawson C, Chatila R, Tenenbaum J. Surprise! Infants consider possible bases of generalization for a single input example. Dev Sci. 2015 Jan;18(1):80-9. doi: 10.1111/desc.12183",Gerken et al (2015),SingleInstance,Gerken2015,41,0.3115129655385301,0.01667820905309731,9.067948007145937,behavior,looking,natural,familiarization
Abstract rule learning,"Gerken L, Dawson C, Chatila R, Tenenbaum J. Surprise! Infants consider possible bases of generalization for a single input example. Dev Sci. 2015 Jan;18(1):80-9. doi: 10.1111/desc.12183",Gerken et al (2015),SingleInstanceUnrepeatedFeature,Gerken2015,42,-0.0505508460431,0.00706388470089182,9.593626152487731,behavior,looking,natural,familiarization
Abstract rule learning,"Gerken L, Dawson C, Chatila R, Tenenbaum J. Surprise! Infants consider possible bases of generalization for a single input example. Dev Sci. 2015 Jan;18(1):80-9. doi: 10.1111/desc.12183",Gerken et al (2015),SingleInstanceRepeatedFeatures,Gerken2015,43,-0.5561130685089524,0.04999274396228445,9.593626152487731,behavior,looking,natural,familiarization
Abstract rule learning,"Gerken L, Dawson C, Chatila R, Tenenbaum J. Surprise! Infants consider possible bases of generalization for a single input example. Dev Sci. 2015 Jan;18(1):80-9. doi: 10.1111/desc.12183",Gerken et al (2015),SingleInstanceCommonFeature,Gerken2015,44,0.4072882112511204,0.04021024358885889,9.035093123062076,behavior,looking,natural,familiarization
Abstract rule learning,"Gervain,J, Werker, JF Learning non-adjacent regularities at age 0; 7.  J Child Lang. 2013 Sep;40(4):860-72. doi: 10.1017/S0305000912000256",Gervain & Werker (2013),TrainABBorABATestABC,Gervain2013,45,0.5991143463480072,0.024036725,7.030945193946487,behavior,looking,natural,familiarization
Abstract rule learning,"Johnson, S. P., Fernandes, K. J., Frank, M. C., Kirkham, N., Marcus, G., Rabagliati, H., & Slemmer, J. A. Abstract Rule Learning for Visual Sequences in 8‐and 11‐Month‐Olds.  Infancy, 2009, 14(1), 2-18.",Johnson et al (2009),8moABBTestAAB,Johnson2009,46,-0.14183914550910917,0.00450295857996886,8.049446600546212,behavior,looking,artificial,habituation
Abstract rule learning,"Johnson, S. P., Fernandes, K. J., Frank, M. C., Kirkham, N., Marcus, G., Rabagliati, H., & Slemmer, J. A. Abstract Rule Learning for Visual Sequences in 8‐and 11‐Month‐Olds.  Infancy, 2009, 14(1), 2-18.",Johnson et al (2009),11moABBTestAAB,Johnson2009,47,0.4242155365457361,0.02858043821717793,11.039241052177662,behavior,looking,artificial,habituation
Abstract rule learning,"Johnson, S. P., Fernandes, K. J., Frank, M. C., Kirkham, N., Marcus, G., Rabagliati, H., & Slemmer, J. A. Abstract Rule Learning for Visual Sequences in 8‐and 11‐Month‐Olds.  Infancy, 2009, 14(1), 2-18.",Johnson et al (2009),8moABBTestABA,Johnson2009,48,0.9807096395159596,0.05485334404767596,8.115156368713937,behavior,looking,artificial,habituation
Abstract rule learning,"Johnson, S. P., Fernandes, K. J., Frank, M. C., Kirkham, N., Marcus, G., Rabagliati, H., & Slemmer, J. A. Abstract Rule Learning for Visual Sequences in 8‐and 11‐Month‐Olds.  Infancy, 2009, 14(1), 2-18.",Johnson et al (2009),8moAABTestABA,Johnson2009,49,0.13396226414853157,0.04327676031802637,7.819462411959178,behavior,looking,artificial,habituation
Abstract rule learning,"Johnson, S. P., Fernandes, K. J., Frank, M. C., Kirkham, N., Marcus, G., Rabagliati, H., & Slemmer, J. A. Abstract Rule Learning for Visual Sequences in 8‐and 11‐Month‐Olds.  Infancy, 2009, 14(1), 2-18.",Johnson et al (2009),11moAABTestABA,Johnson2009,50,-0.47666423180336454,0.06691279695907443,11.0063861680938,behavior,looking,artificial,habituation
Abstract rule learning,"Johnson, S. P., Fernandes, K. J., Frank, M. C., Kirkham, N., Marcus, G., Rabagliati, H., & Slemmer, J. A. Abstract Rule Learning for Visual Sequences in 8‐and 11‐Month‐Olds.  Infancy, 2009, 14(1), 2-18.",Johnson et al (2009),11moAABTestABB,Johnson2009,51,-0.5918131806601463,0.0655779934334292,10.874966631758353,behavior,looking,artificial,habituation
Abstract rule learning,"Johnson, S. P., Fernandes, K. J., Frank, M. C., Kirkham, N., Marcus, G., Rabagliati, H., & Slemmer, J. A. Abstract Rule Learning for Visual Sequences in 8‐and 11‐Month‐Olds.  Infancy, 2009, 14(1), 2-18.",Johnson et al (2009),8moABATestABB,Johnson2009,52,-0.03475008675861634,0.06153018921324328,7.983736832378488,behavior,looking,artificial,habituation
Abstract rule learning,"Johnson, S. P., Fernandes, K. J., Frank, M. C., Kirkham, N., Marcus, G., Rabagliati, H., & Slemmer, J. A. Abstract Rule Learning for Visual Sequences in 8‐and 11‐Month‐Olds.  Infancy, 2009, 14(1), 2-18.",Johnson et al (2009),11moABATestABB,Johnson2009,53,-0.0139633091879759,0.01200487435008697,11.104950820345389,behavior,looking,artificial,habituation
Abstract rule learning,"van Leeuven, C. & Levelt, CC The Impact of Lexical Knowledge on Visual Rule Learning in 12- to 14-Month-Old Infants. Leiden University MSc thesis, 2016",Leeuven & Levelt (2016),KnownRealObjects,Leeuven2016,54,0.02857142857051309,0.00949516648764631,13.404792706215732,behavior,looking,artificial,familiarization
Abstract rule learning,"van Leeuven, C. & Levelt, CC The Impact of Lexical Knowledge on Visual Rule Learning in 12- to 14-Month-Old Infants. Leiden University MSc thesis, 2016",Leeuven & Levelt (2016),UnknownRealObjects,Leeuven2016,55,0.05287934470196102,0.01866990562740272,13.20766340171256,behavior,looking,artificial,familiarization
Abstract rule learning,"van Leeuven, C. & Levelt, CC The Impact of Lexical Knowledge on Visual Rule Learning in 12- to 14-Month-Old Infants. Leiden University MSc thesis, 2016",Leeuven & Levelt (2016),NonceObjects,Leeuven2016,56,-0.23291111177873688,0.06635618964975018,13.470502474383457,behavior,looking,artificial,familiarization
Abstract rule learning,"Marcus, G. F., Vijayan, S., Rao, S. B., & Vishton, P. M.  Rule learning by seven-month-old infants. Science, 283(5398), 77-80.",Marcus et al (1999),7moABAABB,Marcus1999,57,1.1296378982944617,0.10487755566447277,6.998090309862626,behavior,looking,natural,familiarization
Abstract rule learning,"Marcus, G. F., Vijayan, S., Rao, S. B., & Vishton, P. M.  Rule learning by seven-month-old infants. Science, 283(5398), 77-80.",Marcus et al (1999),7moABAABBVoicing,Marcus1999,58,0.748492313554989,0.13125752323284062,6.998090309862626,behavior,looking,natural,familiarization
Abstract rule learning,"Marcus, G. F., Vijayan, S., Rao, S. B., & Vishton, P. M.  Rule learning by seven-month-old infants. Science, 283(5398), 77-80.",Marcus et al (1999),7moABBAAB,Marcus1999,59,1.182240541416493,0.1349278968052738,6.998090309862626,behavior,looking,natural,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),SungSyllablesAAB,Marcus2007,60,0.9774656240382832,0.1797149403860344,6.965235425778763,behavior,looking,natural,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),SungSyllablesABB,Marcus2007,61,0.7265009105996053,0.2504877233188785,7.22807449844966,behavior,looking,natural,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),Tones AAB,Marcus2007,62,0.17490576558485066,0.08191200167717641,7.096654962114211,behavior,looking,artificial,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),Tones ABB,Marcus2007,63,-0.25915390139501165,0.15669754653801596,7.260929382533522,behavior,looking,artificial,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),Timbre1_AAB,Marcus2007,64,-0.01168412475673999,0.20858117991223793,7.983736832378488,behavior,looking,artificial,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),Timbre1_ABB,Marcus2007,65,0.24783646191005967,0.193838931990756,8.082301484630074,behavior,looking,artificial,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),Timbre2_ABA,Marcus2007,66,0.20602104671937824,0.2051527919807093,7.129509846198074,behavior,looking,artificial,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),Timbre2_ABB,Marcus2007,67,0.16435010994815835,0.2647864970457123,7.1623647302819355,behavior,looking,artificial,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),Animal1_AAB,Marcus2007,68,0.36790395313151875,0.1184595824206124,8.213721020965522,behavior,looking,artificial,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),Animal1_ABB,Marcus2007,69,-0.3607094180090374,0.13813195526502617,8.64083451405573,behavior,looking,artificial,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),SP_2_ANI_ABA,Marcus2007,70,0.9240883747971248,0.15813852317394225,6.833815889443315,behavior,looking,natural,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),SP_2_ANI_ABB,Marcus2007,71,0.4209593545216267,0.0965114876755147,7.720897759707591,behavior,looking,natural,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),SP_2_TIM_ABA,Marcus2007,72,0.22680598509948577,0.04321505967980926,7.589478223372143,behavior,looking,natural,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),SP_2_TIM_ABB,Marcus2007,73,0.8651492923215804,0.18928020612528323,7.523768455204419,behavior,looking,natural,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),SP_2_TON_ABA,Marcus2007,74,0.41598502709098795,0.07236025305456356,7.096654962114211,behavior,looking,natural,familiarization
Abstract rule learning,"Marcus, G. F., Fernandes, K. J., & Johnson, S. P.  Infant rule learning facilitated by speech. Psychological Science, 2007 18(5), 387-391.",Marcus et al (2007),SP_2_TON_ABB,Marcus2007,75,0.8928067806615508,0.2620613304219579,6.702396353107867,behavior,looking,natural,familiarization
Abstract rule learning,"Pons, F., & Toro, J. M.  Structural generalizations over consonants and vowels in 11-month-old infants. Cognition. 2010 Sep;116(3):361-7. doi: 10.1016/j.cognition.2010.05.013.",Pons & Toro (2010),RulesOverConsonants,Pons2010,76,0.6710118292548947,0.09094552734375,11.30208012484856,behavior,looking,natural,familiarization
Abstract rule learning,"Pons, F., & Toro, J. M.  Structural generalizations over consonants and vowels in 11-month-old infants. Cognition. 2010 Sep;116(3):361-7. doi: 10.1016/j.cognition.2010.05.013.",Pons & Toro (2010),RulesOverVowels,Pons2010,77,0.3261954935311032,0.091700109375,11.433499661184008,behavior,looking,natural,familiarization
Abstract rule learning,"Rabagliati, H., Senghas, A., Johnson, S., & Marcus, G. F. ""Infant rule learning: advantage language, or advantage speech? PLoS One, 7(7), e40517.",Rabagliati et al (2012),ABB,Rabagliati2012,78,0.798228126285287,0.109882005899705,7.655187991539867,behavior,looking,artificial,habituation
Abstract rule learning,"Rabagliati, H., Senghas, A., Johnson, S., & Marcus, G. F. ""Infant rule learning: advantage language, or advantage speech? PLoS One, 7(7), e40517.",Rabagliati et al (2012),AAB,Rabagliati2012,79,-0.10521071133233972,0.05546122057412736,7.655187991539867,behavior,looking,artificial,habituation
Abstract rule learning,"Saffran, JR, Pollak, SD, Seibel, RL, Shkolnik, A. Dog is a dog is a dog: Infant rule learning is not specific to language. Cognition. 2007 Dec; 105(3): 669–680.",Saffran et al (2007),7mo,Saffran2007,80,0.8007766303983196,0.07366024388256173,7.293784266617384,behavior,looking,artificial,habituation
Abstract rule learning,"Saffran, JR, Pollak, SD, Seibel, RL, Shkolnik, A. Dog is a dog is a dog: Infant rule learning is not specific to language. Cognition. 2007 Dec; 105(3): 669–680.",Saffran et al (2007),7mo,Saffran2007,81,1.204394469323007,0.07733826434540908,7.195219614365798,behavior,looking,artificial,habituation
Abstract rule learning,"Saffran, JR, Pollak, SD, Seibel, RL, Shkolnik, A. Dog is a dog is a dog: Infant rule learning is not specific to language. Cognition. 2007 Dec; 105(3): 669–680.",Saffran et al (2007),7mo,Saffran2007,82,0.7021276745546101,0.03758607289980421,7.260929382533522,behavior,looking,artificial,habituation
Abstract rule learning,"Thiessen, ED Effects of Inter- and Intra-modal Redundancy on Infants' Rule Learning . Language Learning and Development, 2012, 8(3), 197-214.",Thiessen (2012),ABA,Thiessen2012,83,-0.4707858794210963,0.02829069360809265,7.195219614365798,behavior,looking,artificial,habituation
Abstract rule learning,"Thiessen, ED Effects of Inter- and Intra-modal Redundancy on Infants' Rule Learning . Language Learning and Development, 2012, 8(3), 197-214.",Thiessen (2012),ABB,Thiessen2012,84,-0.7093084682410769,0.11076764462131894,7.195219614365798,behavior,looking,artificial,habituation
Abstract rule learning,"Thiessen, ED Effects of Inter- and Intra-modal Redundancy on Infants' Rule Learning . Language Learning and Development, 2012, 8(3), 197-214.",Thiessen (2012),ABA,Thiessen2012,85,0.2985111570629966,0.01480485548554854,7.39234891886897,behavior,looking,artificial,habituation
Abstract rule learning,"Thiessen, ED Effects of Inter- and Intra-modal Redundancy on Infants' Rule Learning . Language Learning and Development, 2012, 8(3), 197-214.",Thiessen (2012),ABB,Thiessen2012,86,0.6372024503468218,0.07739350827725766,7.39234891886897,behavior,looking,artificial,habituation
Abstract rule learning,"Thiessen, ED Effects of Inter- and Intra-modal Redundancy on Infants' Rule Learning . Language Learning and Development, 2012, 8(3), 197-214.",Thiessen (2012),ABA,Thiessen2012,87,-0.08515994337054912,0.02622663174858984,7.096654962114211,behavior,looking,natural,habituation
