ds_clean,response_mode,method,dependent_measure,looking,note
Prosocial agents,behavior,offering help to a target,target_selection,no,
Simple arithmetic competences,eye-tracking,forced-choice,looking_time,yes,
Symbolic play,other,observational,vocabulary_size,no,
Natural speech preference,behavior,head-turn preference procedure,pc_head_turns,no,
Natural speech preference,behavior,high-amplitude sucking,sucking_time,no,
Natural speech preference,eye-tracking,central fixation,looking_time,yes,
Natural speech preference,behavior,central fixation,looking_time,yes,
Natural speech preference,eye-tracking,head-turn preference procedure,looking_time,yes,
Cross-situational word learning,eye-tracking,looking while listening,looking_time,yes,
Cross-situational word learning,behavior,forced-choice,target_selection,no,
Cross-situational word learning,eye-tracking,looking while listening,looking_time_change_pc,yes,
Language discrimination and preference,eye-tracking,central fixation,looking_time,yes,
Language discrimination and preference,behavior,head-turn preference procedure,reaction_time,no,
Language discrimination and preference,behavior,head-turn preference procedure,looking_time,yes,
Language discrimination and preference,behavior,high-amplitude sucking,number_sucks,no,
Language discrimination and preference,behavior,high-amplitude sucking,trials_triggered,no,
Language discrimination and preference,NIRS,passive listening,mean_amplitude,no,
Language discrimination and preference,eye-tracking,central fixation,looking_time_change_pc,yes,
Language discrimination and preference,behavior,forced-choice,target_selection,no,
Language discrimination and preference,behavior,high-amplitude sucking,sucking_rate,no,
Language discrimination and preference,behavior,high-amplitude sucking,sucking_time,no,
Language discrimination and preference,EEG,passive listening,peak_latency,no,
Language discrimination and preference,EEG,passive listening,peak_amplitude,no,
Syntactic bootstrapping,behavior,forced-choice,target_selection,no,
Syntactic bootstrapping,eye-tracking,forced-choice,looking_time,yes,
Infant directed speech preference,eye-tracking,CF,looking_time,yes,
Infant directed speech preference,behavior,CHT,target_selection,no,
Infant directed speech preference,behavior,HPP,looking_time,yes,
Infant directed speech preference,other,CF,facial_expression,no,
Infant directed speech preference,behavior,FC,target_selection,no,
Statistical sound category learning (habituation),eye-tracking,central fixation,looking_time,yes,
Statistical sound category learning (habituation),EEG,oddball,peak_amplitude,no,
Statistical sound category learning (habituation),eye-tracking,central fixation,looking_time_change,yes,
Gaze following (combined),eye-tracking,forced-choice,target_selection,yes,https://www.cambridge.org/core/journals/journal-of-child-language/article/infant-gaze-following-and-pointing-predict-accelerated-vocabulary-growth-through-two-years-of-age-a-longitudinal-growth-curve-modeling-study/CB461AEDE820A9FEB35DA5AB5AC4FF3F
Word Segmentation (combined),eye-tracking,central fixation,looking_time,yes,
Word Segmentation (combined),behavior,head-turn preference procedure,looking_time,yes,
Word Segmentation (combined),eye-tracking,head-turn preference procedure,looking_time,yes,
